Year,Fire_name,Damaged_structures,Destroyed_structures,Ranger_unit,Start,Incident_number,County,County2
2018,Camp,727,18804,BTU,11/18/2018,CA-BTU-016737,Butte,
2018,Carder,,1,LNU,7/21/2018,CALNU 010957,,
2018,Carr,279,1614,SHU,7/23/2018,CASHU 007808,Shasta,Trinity
2018,Colusa,,1,BTU,7/5/2018,CABTU 009906,Butte,
2018,County,4,29,LNU,7/1/2018,CALNU 009502,Napa,Yolo
2018,Cranston,5,12,RRU,7/25/2018,CABDF 011390,Riverside,
2018,Creek,,12,SHU,6/24/2018,CASHU 006565,Shasta,
2018,Delta,4,42,SHU,8/4/2018,CASHF 001444,Shasta,
2018,Frazier,1,1,FKU,6/3/2018,CAFKU 007893,Fresno,
2018,Grant,,1,SCU,5/30/2018,CASCU 003726,Contra Costa,
2018,Hill,2,4,VNC,11/8/2018,CAVNC-090993,Ventura,
2018,Holiday,3,24,SLU,7/6/2018,CASBC 008657,Santa Barbara,
2018,Holy,18,24,,8/6/2018,CACNF 002664,,
2018,Horse,,2,TCU,6/24/2018,CATCU 007237,Calaveras,
2018,Hyatt,,4,LMU,6/27/2018,CALMU 003203,Lassen,
2018,Irish,1,1,AEU,7/6/2018,CAAEU 018720,,
2018,Klamathon,12,83,SKU,7/5/2018,CA-SKU-004641,Siskiyou,
2018,Marsh,,1,SCU,7/25/2018,CASCU 005274,,
2018,Meyers,,4,AEU,9/20/2018,CAAEU 027442,El Dorado,
2018,Nicolaus,1,,NEU,7/1/2018,CANEU 015512,,
2018,Omega,6,1,AEU,8/1/2018,CAAEU 021770,,
2018,Pawnee,6,22,LNU,6/23/2018,CA-LNU-009002,Lake,
2018,Ranch,27,246,MEU,7/27/2018,CA-MEU-008674,Lake,Mendocino
2018,Richmond,,1,LMU,9/20/2018,CALMU 005031,,
2018,Ridge,1,,NEU,6/30/2018,CANEU 015440,,
2018,River,11,35,MEU,7/27/2018,CA-MEU-008674,Lake,Mendocino
2018,Ruby,,1,TCU,6/14/2018,CASTF 000864,,
2018,Silver,,1,SHU,9/29/2018,CASHU 010300,,
2018,Spring,,1,LNU,7/9/2018,CALNU 010121,,
2018,Steele,4,8,LNU,7/28/2018,CALNU 011447,,
2018,Stoll,6,24,TGU,6/23/2018,CATGU 006039,Tehama,
2018,Wagner,,7,MMU,8/4/2018,CAMMU 016004,,
2018,Waverly,7,1,TCU,6/30/2018,CATCU 007477,Calaveras,
2018,West,14,48,MVU,7/6/2018,CACNF 002238,San Diego,
2018,Woolsey,364,1629,VNC,11/8/2018,CAVNC-091023,Los Angeles,Ventura
