Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
1979,I,Humboldt-Del Norte,Blue Creek,06/08/1979,06/10/1979,CDF,363,0,T,Equip. Use,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Humboldt-Del Norte,Sylvandale,8/10/1979,8/11/1979,CDF,1616,0,TWG,Equip. Use,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Lake-Napa,Rockwell Gap,9/11/1979,9/12/1979,CDF,2500,0,BG,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Lake-Napa,Seigler,9/17/1979,9/18/1979,CDF,1029,0,TWB,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Mendocino,Hanes #2,9/12/1979,9/14/1979,CDF,370,0,TWBG,Debris,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Mendocino,Woodruff,9/16/1979,9/18/1979,CDF,520,0,TBG,Arson,1,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Butte,Bidwell Park,7/25/1979,7/26/1979,CITY,1220,80,WB,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Plumas NF,Will,9/18/1979,9/21/1979,USFS,720,2460,T,N/A,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Modoc NF,Happy,7/19/1979,7/22/1979,USFS,0,2473,T,Lightning,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Nevada-Yuba-Placer,Roadside #70-77,7/10/1979,7/10/1979,CDF,1700,0,WG,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Shasta-Trinity,Rim,5/15/1979,5/16/1979,CDF,310,0,T,Debris,,,,,NA,NA,NA,NA,NA,NA,NA,NA
