Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
1981,I,Lake-Napa,Basalt,6/13/1981,6/14/1981,CDF,700,0,WBG,Equip. Use,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,I,Lake-Napa,Atlas Peak,6/22/1981,6/23/1981,CDF,23000,0,TWBGAP,Arson,69,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,I,Lake-Napa,Grizzly,7/26/1981,7/28/1981,CDF,4392,0,WBG,Arson,1,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,I,Mendocino NF,Hunter,8/9/1981,8/11/1981,USFS,1810,130,TBW,Debris,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,I,Lake-Napa,Sulphur Bank,8/9/1981,8/11/1981,CDF,2300,0,WBG,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,I,Lake-Napa,Langs Peak,8/9/1981,8/12/1981,CDF,14660,0,BG,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,I,Lake-Napa,School Teacher Hill,9/20/1981,9/20/1981,CDF,493,0,BG,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,I,Mendocino,Cow Mountain,8/8/1981,8/12/1981,CDF,25534,0,WBG,Arson,4,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,I,Mendocino,Cooley,9/4/1981,9/5/1981,CDF,500,0,BG,Debris,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,II,Plumas NF,Sloat,7/21/1981,7/21/1981,USFS,0,850,T,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,II,Plumas NF,Ingalls,9/17/1981,9/24/1981,USFS,0,5995,T,Lightning,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,II,Lassen-Modoc,Rice Canyon Road,8/12/1981,8/13/1981,CDF,8,292,TBG,Arson,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,II,Lassen-Modoc,Lightning #6,8/17/1981,8/18/1981,CDF,750,0,WBG,Lightning,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,II,Lassen-Modoc,Lightning #25,8/17/1981,8/18/1981,CDF,690,0,BG,Lightning,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,II,Lassen-Modoc,Webber,8/18/1981,8/18/1981,CDF,1290,0,BG,Lightning,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,II,Modoc NF,East,9/17/1981,9/20/1981,USFS,0,540,T,Lightning,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,II,Modoc NF,Likely,9/18/1981,9/22/1981,USFS,0,525,T,Lightning,,,,,NA,NA,NA,NA,NA,NA,NA,NA
1981,IV,Amador-El Dorado,Meiss,6/14/1981,6/14/1981,CDF,13200,0,WBG,Misc.,,,,,NA,NA,NA,NA,NA,NA,NA,NA
