Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures
1986,I,Six Rivers NF,Knopki,7/15/1986,NA,USFS,,354,,NA,
1986,I,Lake-Napa,Sites,11/10/1986,11/10/1986,CDF,1600,,WG,Equip. Use,
1986,II,Nevada-Yuba-Placer,USFS Assist #10,11/3/1986,11/4/1986,USFS,,400,T,NA,
1986,II,Shasta-Trinity,Tamarack,8/27/1986,8/27/1986,CDF,450,,T,Smkg.,
1986,III,Riverside,Colorado #2,4/13/1986,4/13/1986,BIA,1800,,B,Misc.,
1986,III,Riverside,Galvin,5/17/1986,5/18/1986,CDF,602,,B,Cmpr.,
1986,III,Riverside,Wilmont,5/29/1986,5/29/1986,CDF,1425,,B,Arson,
1986,III,Riverside,Powerline,4/26/1986,4/27/1986,LOCAL,,400,B,Equip. Use,
1986,III,San Bernardino,Scout,5/17/1986,5/17/1986,CDF,900,,B,Equip. Use,
1986,III,Angeles NF,Tecolate,7/20/1986,7/23/1986,USFS,,3900,BG,Cmpr.,
1986,III,Ventura County,Bradley,11/10/1986,11/11/1986,CC,,9027,WBG,Equip. Use,
1986,III,San Bernardino,Inscription,5/30/1986,5/30/1986,LOCAL,,4100,,Ltng.,
1986,III,San Bernardino NF,Intake,7/20/1986,7/22/1986,USFS,,560,BG,NA,
1986,III,San Diego,Flinn,6/27/1986,6/27/1986,CDF,680,,B,Play./W/Fire,
1986,III,San Diego,Assist #42,7/13/1986,7/14/1986,USFS,,1200,B,NA,
1986,III,San Diego,Tecate #18,8/1/1986,8/1/1986,CDF,350,,B,Arson,
1986,III,San Diego,Peak,8/20/1986,8/20/1986,CDF,1102,,TBG,Cmpr.,
1986,III,San Diego,Mine,9/4/1986,9/5/1986,CDF,950,,B,Arson,
1986,III,San Diego,Assist #76,7/24/1986,7/24/1986,CITY,,400,B,NA,
1986,III,San Luis Obispo,Chimney Rock,8/1/1986,8/2/1986,CDF,450,,WBG,Arson,
1986,IV,Amador-El Dorado,Salmon,6/9/1986,6/10/1986,CDF,738,,BG,Equip. Use,
1986,IV,Fresno-Kings,Lightning Series,7/21/1986,7/22/1986,CDF,1570,,B,Ltng.,
1986,IV,Sierra NF,Deer,9/9/1986,9/19/1986,USFS,,11860,BG,NA,
1986,IV,Yosemite NP,Yosemite #1,6/27/1986,6/28/1986,NP,,650,,NA,
1986,IV,Madera-Mariposa,Coulterville,8/14/1986,8/14/1986,CDF,630,,B,Arson,
1986,IV,San Benito-Monterey,Bryant Canyon,5/24/1986,5/24/1986,CDF,2677,,BG,Equip. Use,
1986,IV,San Benito-Monterey,Panoche #2,6/2/1986,6/3/1986,CDF,1650,,BGAP,Equip. Use,
1986,IV,San Benito-Monterey,Deer Valley Ranch,6/17/1986,6/17/1986,CDF,960,,WAP,Equip. Use,
1986,IV,San Benito-Monterey,River,11/6/1986,11/8/1986,CDF,5375,,WBG,Debris,1
1986,IV,San Benito-Monterey,USFS Assist,11/6/1986,11/12/1986,USFS,,2165,B,NA,
1986,IV,Kern County,Dutch Kern #30,7/11/1986,7/12/1986,CC,,540,B,NA,
1986,IV,Toyiabe NF,TOF Assist #1,7/16/1986,7/19/1986,USFS,,3500,TGB,NA,
1986,IV,Tuolumne-Calaveras,Hunt,9/11/1986,9/11/1986,CDF,380,,TWB,Misc.,
