Year,Incident_number,County,County2,County3,Fire_name,Start,Contained,DPA,DPA2,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2008,LNU-1057,Lake,NA,NA,"Control Burn, Geysers",2/13/2008,2/13/2008,LOCAL,NA,400,G,Debris,0,0,0,0
2008,YNP-764,Mariposa,NA,NA,Wawona NW,4/9/2008,4/19/2008,NPS,USFS,1130,TB,Human,0,0,0,0
2008,SMD-0822735,Los Angeles,NA,NA,Santa Anita,4/26/2008,5/2/2008,LOCAL,LAC,584,B,Arson,1,0,0,0
2008,BDF-5147,Riverside,NA,NA,Apache,4/29/2008,5/4/2008,USFS,NA,769,TBG,Smoking,0,0,0,0
2008,INF-282,Tulare,NA,NA,Honey Bee,5/6/2008,5/23/2008,USFS,NA,1225,TB,Lightning,0,0,0,0
2008,ANF-1444,Los Angeles,NA,NA,Bighorn,5/14/2008,5/21/2008,USFS,NA,490,B,Misc.,0,0,0,0
2008,SQF-967,Tulare,NA,NA,Clover,5/28/2008,7/20/2008,USFS,NA,15300,TB,Lightning,0,0,0,0
2008,KRN-016886,Kern,NA,NA,Grapevine,6/6/2008,6/8/2008,CC,NA,507,G,Undetermined,0,0,0,0
2008,CDD-6343,San Bernardino,NA,NA,Acoma,6/7/2008,6/10/2008,BLM,NA,356,G,Undetermined,0,1,0,0
2008,SQF-1023,Kern,NA,NA,Richbar,6/7/2008,6/8/2008,USFS,NA,312,BG,Arson,0,0,0,0
2008,LPF-1491,Monterey,NA,NA,Indians,6/8/2008,7/10/2008,USFS,NA,81378,TBG,Campfire,15,1,0,0
2008,AEU-10884,Sacramento,NA,NA,Jackson,6/10/2008,6/12/2008,LOCAL,NA,6400,,Undetermined,0,0,0,0
2008,MNF-2009,Tehama,NA,NA,Whiskey,6/12/2008,6/22/2008,USFS,NA,7783,BGW,Misc.,0,0,0,0
2008,SHF-1041,Trinity,NA,NA,Lime Complex,6/20/2008,8/15/2008,USFS,BLM,98715,T,Lightning,5,0,0,0
2008,SRF-1036,Humboldt,Trinity,Siskiyou,SRF Lightning Complex,6/20/2008,NA,USFS,NA,900,T,Lightning,0,0,0,0
2008,SRF-1120,Humboldt,Trinity,NA,Mad Complex,6/20/2008,7/21/2008,USFS,NA,3705,TBG,Lightning,0,0,0,0
2008,SRF-1123,Humboldt,Trinity,NA,Hells Half Complex,6/20/2008,7/28/2008,USFS,NA,15146,TB,Lightning,1,0,0,0
2008,SRF-1126,Humboldt,NA,NA,Ukonom-South Complex,6/20/2008,9/15/2008,USFS,NA,29327,T,Lightning,0,0,0,0
2008,KNF-2975,Siskiyou,NA,NA,Siskiyou / Blue 2 Complex,6/21/2008,NA,USFS,NA,82186,T,Lightning,0,0,1,0
2008,KNF-3393,Siskiyou,NA,NA,Bear Wallow Complex (Klamath Theater),6/22/2008,9/30/2008,USFS,NA,192038,TB,Lightning,0,0,2,0
2008,LNF-2713,Lassen,NA,NA,Cub Complex,6/21/2008,7/20/2008,USFS,NA,19718,T,Lightning,0,0,0,0
2008,LNF-2782,Shasta,Lassen,NA,Peterson Complex,6/21/2008,7/2/2008,USFS,NA,7842,TBG,Lightning,0,0,0,0
2008,LPF-1649,Monterey,NA,NA,Basin Complex,6/21/2008,7/27/2008,USFS,NA,162818,TB,Lightning,58,9,0,0
2008,MNF-579,Lake,Mendocino,Tehama,Merged with Yolla Bolly Complex,6/21/2008,6/29/2008,USFS,NA,3000,BGWT,Lightning,2,0,0,0
2008,MNF-645,Lake,NA,NA,Soda Complex,6/21/2008,7/26/2008,USFS,NA,8632,TG,Lightning,4,0,0,0
2008,PNF-0539,Plumas,NA,NA,Canyon Complex,6/21/2008,9/30/2008,USFS,NA,47680,T,Lightning,3,0,0,0
2008,SHF-1057,Trinity,NA,NA,Iron Complex & Alps Complex,6/21/2008,9/9/2008,USFS,NA,105805,TBG,Lightning,2,1,9,0
2008,SNF-0718,Mariposa,Madera,NA,Silver Knob,6/21/2008,7/2/2008,USFS,NA,1161,T,Lightning,0,0,0,0
2008,SNF-715,Madera,Mariposa,NA,Oliver Complex (Merged with Oliver),6/21/2008,6/26/2008,USFS,NA,1000,TB,Lightning,0,0,0,0
2008,STF-1063,Tuolumne,NA,NA,North Mountain,6/21/2008,7/3/2008,USFS,NA,2889,BT,Lightning,0,0,0,0
