Year,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Civilian_fatalities
2009,San Bernardino,Fort,2/5/2009,2/7/2009,CDF,945,Brush,Debris,0,0,0
2009,Stanislaus,Mustang,5/13/2009,5/16/2009,CDF,570,Grass,Debris,0,0,0
2009,Riverside,Oliver,5/27/2009,5/27/2009,CDF,500,Grass,Other,0,0,0
2009,Tulare,TUU Lightning Complex,5/28/2009,5/31/2009,CDF,495,Grass,Lightning,0,0,0
2009,San Joaquin,Explosive,6/19/2009,6/19/2009,CDF,2163,Grass,Equipment Use,0,0,0
2009,Calaveras,Rock,6/28/2009,6/28/2009,CDF,410,Grass,Powerline,0,0,0
2009,Yolo,Rumsey,6/29/2009,7/2/2009,CDF,716,Brush,Equipment Use,0,0,0
2009,Placer,Mammoth,7/16/2009,7/18/2009,CDF,650,Grass,Undetermined,0,0,0
2009,Madera,Ash,7/27/2009,7/29/2009,CDF,300,Grass,Equipment Use,0,0,0
2009,Shasta,Chalk (SHU Complex),8/3/2009,8/16/2009,CDF,6895,Timber,Lightning,0,0,0
2009,Shasta,One-Eleven (SHU Complex),8/3/2009,8/17/2009,CDF,50,Timber,Lightning,0,0,0
2009,Shasta,Goose (SHU Complex),8/3/2009,8/17/2009,CDF,3918,Timber,Lightning,0,0,0
2009,Shasta,Gomez (SHU Complex),8/3/2009,8/17/2009,CDF,404,Timber,Lightning,0,0,0
2009,Shasta,Cassel (SHU Complex),8/3/2009,8/14/2009,CDF,6319,Timber,Lightning,0,0,0
2009,Santa Cruz,Lockheed,8/12/2009,8/23/2009,CDF,7817,"Brush, Timber",Undetermined,13,0,0
2009,Trinity,Coffin,8/12/2009,8/15/2009,CDF,1300,Timber,Structure,0,0,0
2009,San Joaquin,Corral,8/13/2009,8/16/2009,CDF,12200,Grass,Other,2,0,0
2009,Yuba,Yuba,8/14/2009,8/24/2009,CDF,3891,"Timber, Brush, Grass",Undetermined,0,0,0
2009,Monterey,Bryson,8/26/2009,8/29/2009,CDF,3383,Brush,Structure,1,0,0
2009,Monterey,Gloria,8/27/2009,9/1/2009,CDF,6437,Grass,Other,1,0,0
2009,Lassen,Day,8/27/2009,8/30/2009,CDF,853,Timber,Undetermined,0,0,0
2009,Santa Clara,Pacheco,8/29/2009,8/30/2009,CDF,1600,Grass,Equipment Use,0,0,0
2009,San Bernardino,Oak Glenn III,8/30/2009,9/8/2009,CDF,1159,"Brush, Grass",Undetermined,0,0,0
2009,Placer,Forty Nine,8/30/2009,9/1/2009,CDF,311,Grass,Arson,97,0,0
2009,Lake,Oasis,9/7/2009,9/12/2009,CDF,1500,Brush,Open Outdoors,0,0,0
2009,Riverside,Vail,9/19/2009,9/20/2009,CDF,398,Brush,Equipment Use,0,0,0
2009,Santa Cruz,Loma,10/25/2009,10/27/2009,CDF,485,"Timer, Brush",Undetermined,0,0,0
2009,San Luis Obispo,Hernrick VMP,11/14/2009,11/14/2009,CDF,600,Grass,Debris,0,0,0
