Year,Incident_number,County,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2015,BDU-1662,Inyo,Round,2/6/2015,2/13/2015,Cal Fire,7000,NA,B,Undetermined,43,5,0,0
2015,RRU-44605,Riverside,Highway,4/18/2015,4/24/2015,Cal Fire,1049,NA,TG,Equipment,0,0,0,0
2015,MMU-8812,Merced,Forebay,5/11/2015,5/12/2015,Cal Fire,692,NA,G,Vehicle,0,0,0,0
2015,MMU-11662,Madera,Corrine,6/18/2015,6/24/2015,Cal Fire,920,NA,TBG,Electrical Power,2,0,0,0
2015,SLU-6113,San Luis Obispo,Parkhill,6/20/2015,6/20/2015,Cal Fire,1791,NA,B,Vehicle,18,3,0,0
2015,AEU-17193,Sacramento,Ione,7/2/2015,7/5/2015,Cal Fire,357,NA,G,Arson,0,0,0,0
2015,SKU-5078,Siskiyou,York,7/4/2015,7/6/2015,Cal Fire,395,NA,G,Lightning,0,0,0,0
2015,MMU-13970,Merced,McCabe,7/18/2015,7/22/2015,Cal Fire,1600,NA,G,Lightning,0,0,0,0
2015,TUU-383,Tulare,Triple 3,7/21/2015,7/21/2015,Cal Fire,430,NA,G,Lightning,0,0,0,0
2015,LNU-6678,Napa,Wragg,7/22/2015,8/6/2015,Cal Fire,8051,NA,B,Vehicle,2,5,0,0
2015,NEU-17851,Nevada,Lowell,7/25/2015,8/12/2015,Cal Fire,2304,NA,TG,Undetermined,3,1,0,0
2015,BTU-10917,Butte,Swedes,7/29/2015,8/16/2015,Cal Fire,400,NA,B,Debris Burning,16,0,0,0
2015,LNU-6984,Lake,Rocky,7/29/2015,8/14/2015,Cal Fire,69636,NA,TBG,Equipment,96,8,0,0
2015,HUU-5606,Humboldt,Humboldt Complex,7/30/2015,8/21/2015,Cal Fire,4883,NA,T,Lightning,7,0,0,0
2015,MMU-14907,Merced,Creek,7/31/2015,7/31/2015,Cal Fire,1450,NA,G,Vehicle,0,0,0,0
2015,LNU-7410,Lake,Jerusalem,8/9/2015,8/25/2015,Cal Fire,25118,NA,B,Undetermined,2,0,0,0
2015,RRU-90069,Riverside,Anza,8/10/2015,8/15/2015,Cal Fire,500,NA,B,Human,0,0,0,0
2015,SLU-8555,San Luis Obispo,Cuesta,8/16/2015,9/3/2015,Cal Fire,2446,NA,G,Vehicle,1,0,0,0
2015,SCU-5524,Alameda,Tesla,8/19/2015,8/25/2015,Cal Fire,2850,NA,G,Undetermined,1,0,0,0
2015,LNU-8268,lake,Elk,9/2/2015,9/6/2015,Cal Fire,700,NA,B,Equipment,0,0,0,0
2015,AEU-24918,Amador,Butte,9/9/2015,10/23/2015,Cal Fire,70868,NA,TBG,Electrical Power,965,0,0,2
2015,BTU-13363,Butte,Lumpkin,9/11/2015,9/21/2015,Cal Fire,1040,NA,TB,Arson,0,0,0,0
2015,LNU-8670,Lake,Valley,9/12/2015,10/15/2015,Cal Fire,76067,NA,TBG,Electrical Power,1958,93,0,4
2015,BEU-4217,Monterey,Tassajara,9/19/2015,9/29/2015,Cal Fire,1068,NA,B,Undetermined,20,1,0,0
2015,BTU-14554,Butte,Meridian,10/3/2015,10/4/2015,Cal Fire,860,NA,G,Equipment,0,0,0,0
2015,BEU-4582,San Benito,Cienaga,10/12/2015,10/16/2015,Cal Fire,690,NA,TB,Electrical Power,0,0,0,0
2015,OVD-107,Mono,Van Dyke,2/6/2015,2/10/2015,USFS,NA,509,BG,Undetermined,0,0,0,0
2015,MCP-1207,San Diego,Carl,4/28/2015,4/29/2015,DOD,NA,4000,B,Undetermined,0,0,0,0
2015,MCP-1210,San Diego,Mortar,4/28/2015,4/29/2015,DOD,NA,800,B,Undetermined,0,0,0,0
2015,MCP-1212,San Diego,Grenade,4/29/2015,5/5/2015,DOD,NA,2025,B,Undetermined,0,0,0,0
2015,SHF-1371,Trinity,Saddle,6/9/2015,6/25/2015,USFS,NA,1542,TB,Lightning,0,0,0,0
2015,FHL-001570,Monterey,Peanut,6/11/2015,6/11/2015,DOD,NA,1532,G,Undetermined,0,0,0,0
2015,BDF-7894,San Bernardino,Lake,6/17/2015,7/5/2015,USFS,NA,31359,TB,Undetermined,4,0,0,0
2015,SNF-1058,Madera,Sky,6/18/2015,6/26/2015,USFS,NA,500,TB,Vehicle,0,0,0,0
2015,LAC-173220,Los Angeles,Calgrove,6/24/2015,6/26/2015,LAC,NA,415,B,Undetermined,0,1,0,0
2015,BDF-9001,San Bernardino,North,7/17/2015,7/21/2015,USFS,NA,4250,BG,Undetermined,23,5,0,0
2015,SQF-2313,Tulare,Cabin,7/19/2015,9/5/2015,USFS,NA,6980,T,Lightning,0,0,0,0
2015,SNF-1689,Madera,Willow,7/25/2015,8/15/2015,USFS,NA,5702,T,Undetermined,0,0,0,0
2015,MDF-570,Modoc,Frog,7/30/2015,8/6/2015,USFS,NA,4863,T,Lightning,0,0,1,0
2015,SHF-2066,Trinity,River Complex,7/30/2015,10/15/2015,USFS,NA,77081,T,Lightning,0,0,0,0
2015,SRF-1476,Humboldt,Route Complex,7/30/2015,8/31/2015,USFS,NA,35675,T,Lightning,2,0,0,0
2015,SHF-2067,Trinity,Fork Complex,7/30/2015,8/29/2015,USFS,NA,36499,TBG,Undetermined,12,0,0,0
2015,SRF-1433,Trinity,Mad River Complex,7/30/2015,9/3/2015,USFS,NA,37462,T,Lightning,4,0,0,0
2015,SNF-1746,Fresno,Rough,7/31/2015,12/1/2015,USFS,NA,151623,TBG,Lightning,4,0,0,0
2015,SHF-2108,Trinity,South Complex,8/1/2015,10/1/2015,USFS,NA,29416,T,Lightning,3,0,0,0
2015,SRF-1470,Del Norte,Nickowitz,8/1/2015,9/30/2015,USFS,NA,7509,T,Lightning,0,0,0,0
2015,NOD-3806,Lassen,Dodge,8/3/2015,8/17/2015,BLM,NA,10570,B,Human,0,0,0,0
2015,SRF-1488,Del Norte,Gasquet Complex,7/31/2015,10/15/2015,USFS,NA,30361,T,Lightning,0,0,0,0
2015,MCP-2459,San Diego,Horno,8/13/2015,8/17/2015,DOD,NA,1846,,Human,0,0,0,0
2015,ANF-3611,Los Angeles,Cabin,8/14/2015,8/20/20145,USFS,NA,1723,,Undetermined,3,0,0,0
2015,INF-1319,Mono,Walker,8/14/2015,8/31/2015,USFS,NA,3676,,Undetermined,0,0,0,0
2015,ANF-3651,Los Angeles,Warm,8/16/2015,8/19/2015,USFS,NA,300,,Undetermined,3,3,0,0
2015,KRN-30112,Kern,Deer,8/18/2015,8/20/2015,KRN,NA,311,,Undetermined,0,0,0,0
2015,YNP-123,Mariposa,Tenaya,9/7/2015,9/16/2015,USFS,NA,415,,Undetermined,0,0,0,0
2015,VNC-89187,Ventura,Solimar,12/25/2015,12/28/2015,VNC,NA,1288,,Undetermined,0,0,0,0
