YEAR_,FIRE_NAME,OBJECTID,STATE,AGENCY,UNIT_ID,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area,Year,FIRE_NAME,Region,DPA,Ranger_unit,Ranger_unit2,Start,Contained,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1878, ,2073,CA,CCO,LAC,0,,,14,,,59468.88281,,1,0,87952.01647,240662028.7,,,,,,,,,,,,,,,,,,,,,,,
1895, ,2077,CA,CCO,LAC,0,,,14,,,628.1136475,,1,0,5928.650189,2541885.638,,,,,,,,,,,,,,,,,,,,,,,
1896, ,2078,CA,CCO,LAC,0,,,14,,,7531.716797,,1,0,30166.82141,30479776.77,,,,,,,,,,,,,,,,,,,,,,,
1898, ,2079,CA,CCO,LAC,0,,,14,,,1660.103027,,1,0,11223.40078,6718198.593,,,,,,,,,,,,,,,,,,,,,,,
1898, ,2080,CA,CCO,LAC,0,,,14,,,428.4387207,,1,0,4996.833661,1733830.029,,,,,,,,,,,,,,,,,,,,,,,
1898,COZY DELL,4211,CA,CCO,VNC,0,9/1/1898 0:00:00,,14,,,2974.585205,,1,0,15494.86507,12037719.71,,,,,,,,,,,,,,,,,,,,,,,
1898,LOS PADRES,2081,CA,CCO,VNC,0,9/1/1898 0:00:00,,14,,,20539.94922,,1,0,46191.33317,83122225.42,,,,,,,,,,,,,,,,,,,,,,,
1898,MATILIJA,4210,CA,CCO,VNC,0,4/1/1898 0:00:00,,14,,,2641.123047,,1,0,22586.83513,10688246.03,,,,,,,,,,,,,,,,,,,,,,,
1900, ,2516,CA,CDF,RRU,0,,,14,,,978.7540894,,1,0,14434.88603,3960877.166,,,,,,,,,,,,,,,,,,,,,,,
1900, ,4212,CA,USF,BDF,0,,,14,,,1300.429199,,1,0,11275.28343,5262650.173,,,,,,,,,,,,,,,,,,,,,,,
1900, ,4213,CA,CDF,RRU,0,,,14,,,755.652771,,1,0,8292.455851,3058018.356,,,,,,,,,,,,,,,,,,,,,,,
1900, ,4311,CA,USF,PNF,0,,,14,,,419.398468,,1,1,5486.826205,1697245.399,,,,,,,,,,,,,,,,,,,,,,,
1900, ,4312,CA,USF,MDF,0,,,14,,,77.0674362,,1,0,2356.513683,311880.8418,,,,,,,,,,,,,,,,,,,,,,,
1900, ,4410,CA,USF,KNF,0,,,14,,,89.1530609,,1,0,2884.997473,360789.6363,,,,,,,,,,,,,,,,,,,,,,,
