FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,Year,Region,Ranger_uni,Ranger_u_1,FIRE_NAM_1,Start,Contained,DPA,CDF_acres_,Other_acre,Veg_type,Cause_1,Destroyed_,Incident_n,National_f,County,County2,County3,Fire_name2,DPA2,Damaged_st,Firefighte,Civilian_f
0,2,2007,CA,CCO,LAC,MAGIC,233077,10/22/2007 0:00,10/25/2007 0:00,14, ,0,2824.879883,8,1,233077,20407.96566,11431872.51,1985,I,Lake-Napa,NA,MAGIC,0007-10-19,0007-11-19,CDF,357,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,2007,CA,USF,ANF,RANCH,166,10/20/2007 0:00,11/15/2007 0:00,2, ,54716,58410.30078,7,1,166,169150.7157,236378245.2,1996,South,Los Angeles County,NA,RANCH,NA,NA,CC,NA,540,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,5,2007,CA,CCO,LAC,CORRAL,259483,11/24/2007 0:00,11/27/2007 0:00,14, ,0,4708,8,1,259483,22907.18217,19052588.51,2008,NA,Lassen-Modoc,NA,CORRAL,NA,0007-07-20,CDF,12500,NA,T,Lightning,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3,7,2007,CA,CCO,LAC,WEST,148311,7/7/2007 0:00,7/8/2007 0:00,14, ,0,245.2339935,8,1,148311,5881.590454,992426.6389,2010,NA,NA,NA,WEST,NA,0008-06-20,CALFIRE,1658,NA,BG,Equipment use,50,KRN-0021461,NA,Kern,NA,NA,NA,CC,13,0,0
4,9,2007,CA,CCO,LAC,SKYLINE,183643,8/21/2007 0:00,8/23/2007 0:00,14, ,0,95.418602,8,1,183643,3590.087163,386145.196,1996,Sierra,Kings County Assist,NA,SKYLINE,NA,NA,CC,NA,16740,N/A,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
5,10,2007,CA,CCO,LAC,SESNON,231876,10/21/2007 0:00,10/21/2007 0:00,14, ,0,30.3013992,8,1,231876,1675.72825,122625.4901,2008,NA,NA,NA,SESNON,NA,NA,CC,NA,14703,BG,Undetermined,78,LAC-8231953,NA,Los Angeles,NA,NA,NA,NA,15,0,0
6,13,2007,CA,CDF,MVU,ANGEL 3,9233,9/15/2007 0:00,9/25/2007 0:00,4, ,837,832.1270142,7,1,0,17923.84618,3367496.613,2007,San Diego,NA,NA,ANGEL 3,NA,NA,NA,837,0,B,Campfire,24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
7,14,2007,CA,CDF,MVU,BANNER,6310,7/1/2007 0:00,7/3/2007 0:00,14, ,0,95.1512985,7,1,0,3492.891093,385063.4789,1999,South,San Bernardino,NA,BANNER,0006-09-19,0006-11-19,CDF,602,NA,B,Equipment use,1,NA,NA,NA,NA,NA,NA,NA,0,0,0
8,19,2007,CA,CCO,KRN,MOUNTAIN,717959,7/19/2007 0:00,7/19/2007 0:00,14, ,840.56,840.5579834,1,1,717959,10229.11523,3401618.781,2003,South,Riverside,NA,MOUNTAIN,NA,NA,CDF,10000,NA,GB,Equipment use,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,20,2007,CA,CCO,KRN,WHITE,18055,6/24/2007 0:00,6/29/2007 0:00,2, ,12432.15,12432.2002,7,1,718055,42225.31167,50311168.47,2013,NA,NA,NA,WHITE,NA,0006-05-20,USFS,NA,1984,BG,Human,0,LPF-1473,NA,Santa Barbara,NA,NA,NA,NA,1,0,0
10,24,2007,CA,CCO,LAC,CANYON,148415,7/7/2007 0:00,,14, ,743,743.4799805,0,1,148415,12308.86695,3008756.592,2003,South,Riverside,NA,CANYON,NA,NA,OTHER,NA,4336,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,27,2007,CA,CDF,FKU,GATOS,9688,9/2/2007 0:00,9/5/2007 0:00,1, ,100,83.0522003,2,1,9688,2298.988366,336100.3266,2004,Sierra,Fresno-Kings,NA,GATOS,0007-11-20,NA,CDF,1307,NA,GB,Equipment use,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
12,35,2007,CA,CDF,LMU,WILLOW,3020,7/6/2007 0:00,7/17/2007 0:00,1,Timber,75,73.3600006,1,2,0,3120.049848,296877.4248,1999,Coast,Lassen-Modoc,NA,WILLOW,NA,NA,CDF,867,6133,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
13,37,2007,CA,CDF,LMU,PINE,2692,6/23/2007 0:00,7/29/2007 0:00,5,Grass and Brush Mix,314,481.7799988,1,1,0,5880.539937,1949694.62,1999,South,Riverside,NA,PINE,NA,0009-01-19,CDF,1523,NA,GB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
14,40,2007,CA,CDF,LNU,PEAK,4843,7/11/2007 0:00,7/11/2007 0:00,2, ,60,46.3219986,5,1,0,2689.41363,187458.4525,1986,III,San Diego,NA,PEAK,NA,NA,CDF,1102,NA,TBG,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,41,2007,CA,CDF,LNU,MOUNTAIN,4247,6/24/2007 0:00,6/27/2007 0:00,14, ,45,49.2781982,7,1,0,1815.510019,199421.9428,2003,South,Riverside,NA,MOUNTAIN,NA,NA,CDF,10000,NA,GB,Equipment use,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,44,2007,CA,CDF,LNU,ROBINSON,5400,7/28/2007 0:00,7/30/2007 0:00,7,Started on Robinson Rancheria,128,121.5479965,1,1,0,4377.868463,491888.1963,2010,NA,NA,NA,ROBINSON,0006-11-20,0006-12-20,CALFIRE,1600,NA,G,Undetermined,0,MMU-008291,NA,Merced,NA,NA,NA,NA,0,0,0
17,45,2007,CA,CDF,LNU,WEST,5195,7/22/2007 0:00,7/22/2007 0:00,10, ,40,36.9945984,6,1,0,2128.279758,149711.867,2010,NA,NA,NA,WEST,NA,0008-06-20,CALFIRE,1658,NA,BG,Equipment use,50,KRN-0021461,NA,Kern,NA,NA,NA,CC,13,0,0
18,54,2007,CA,CCO,ORC,PIONEER,0,5/26/2007 0:00,,8, ,0,0.338818,0,1,34237,192.416167,1371.148029,1985,VI,Ventura County,NA,PIONEER,NA,NA,CC,NA,1200,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,62,2007,CA,CCO,SBC,MARIPOSA,7295,9/3/2007 0:00,9/4/2007 0:00,11, ,187,188.2550049,7,1,7295,4578.864001,761839.418,1984,VI,San Bernardino,NA,MARIPOSA,NA,NA,CDF,280,60,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
