Year,National_forest,Fire_name,County,Cause,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Destroyed_structures,Firefighter_fatalities
1987,,Cashbaugh,Inyo,Arson,3/4/1987,NA,CDF,602,NA,0,0
1987,,Peach,Riverside,Playing/W Fire,4/17/1987,4/17/1987,CDF,350,NA,0,0
1987,,SLU 73,San Luis Obispo,Miscellaneous,4/19/1987,4/19/1987,CDF,600,NA,0,0
1987,,SLU 864,San Luis Obispo,Miscellaneous,5/5/1987,5/9/1987,CDF,325,NA,0,0
1987,,Winchester #1,Riverside,Lightning,5/7/1987,5/7/1987,CDF,1022,NA,0,0
1987,,Gerber,Stanislaus,Equipment Use,5/7/1987,5/11/1987,CDF,1470,NA,0,0
1987,,Gill,Stanislaus,Lightning,5/9/1987,5/11/1987,CDF,300,NA,0,0
1987,,Ave 32,Tulare,Equipment Use,5/14/1987,5/14/1987,CDF,365,NA,0,0
1987,,SLU 966,San Luis Obispo,Equipment Use,5/14/1987,5/14/1987,CDF,875,NA,0,0
1987,,Nunez,Fresno,Smoking,5/19/1987,5/19/1987,CDF,1000,NA,0,0
1987,,Conover,Riverside,Equipment Use,5/23/1987,5/23/1987,CDF,350,NA,0,0
1987,,Morse,Monterey,Campfire,5/31/1987,6/1/1987,CDF,160,NA,37,0
1987,,Eagle #1,Lake,Miscellaneous,6/3/1987,6/4/1987,CDF,762,NA,8,0
1987,,State 767 (Bull),Riverside,Lightning,6/5/1987,6/5/1987,CDF,1200,NA,0,0
1987,,Verbnia-State 82,Riverside,Miscellaneous,6/14/1987,6/14/1987,CDF,1260,NA,0,0
1987,,Merced Falls,Mariposa,Miscellaneous,6/25/1987,6/26/1987,CDF,300,NA,0,0
1987,,Haswell,Yolo,Arson,6/26/1987,6/26/1987,CDF,310,NA,0,0
1987,,Carrizo,San Diego,Campfire,7/12/1987,7/13/1987,CDF,400,NA,0,0
1987,,SLU 1690,San Luis Obispo,Playing/W Fire,7/23/1987,7/23/1987,CDF,300,NA,0,0
1987,,Alexander,Monterey,Equipment Use,7/23/1987,7/23/1987,CDF,343,NA,0,0
1987,,Romero,Merced,Equipment Use,7/23/1987,7/23/1987,CDF,700,NA,0,0
1987,,Denny,Tulare,Arson,7/31/1987,NA,CDF,320,NA,0,0
1987,,Pilitas,San Luis Obispo,Miscellaneous,8/4/1987,8/5/1987,CDF,1250,NA,0,0
1987,,SLU 1848,San Luis Obispo,Equipment Use,8/5/1987,8/5/1987,CDF,575,NA,0,0
1987,,State 1293,Riverside,Miscellaneous,8/22/1987,8/22/1987,CDF,360,NA,0,0
1987,,Case,Tulare,Lightning,8/29/1987,9/7/1987,CDF,4723,NA,0,0
1987,,Tyler,Mendocino,Arson,8/29/1987,8/31/1987,CDF,450,NA,0,0
1987,,Dog Bar,Nevada,Equipment Use,8/30/1987,8/30/1987,CDF,362,NA,4,0
1987,,Crank,Modoc,Lightning,8/30/1987,9/4/1987,CDF,3528,NA,0,0
1987,,Pierce,Tulare,Lightning,8/30/1987,8/30/1987,CDF,725,NA,0,0
1987,,White Deer,Fresno,Lightning,8/31/1987,9/1/1987,CDF,835,NA,0,0
1987,,Buzzard,Shasta,Playing/W Fire,8/31/1987,9/2/1987,CDF,700,NA,0,0
1987,,Red Mountain,Fresno,Lightning,8/31/1987,9/1/1987,CDF,4750,NA,0,0
1987,,Skinner,Riverside,Lightning,9/1/1987,9/2/1987,CDF,560,NA,0,0
1987,,Borden,Sacramento,Arson,9/3/1987,9/3/1987,CDF,432,NA,0,0
1987,,Briceburg,Lassen,Arson,9/9/1987,9/11/1987,CDF,411,NA,0,0
1987,,Post,Riverside,Arson,9/9/1987,9/9/1987,CDF,546,NA,0,0
1987,,Lauder,Mendocino,Miscellaneous,9/29/1987,9/29/1987,CDF,1400,NA,1,0
1987,,Highland,San Diego,Miscellaneous,10/3/1987,10/4/1987,CDF,506,NA,0,0
1987,,Palomar,San Diego,Debris,10/3/1987,10/3/1987,CDF,16100,NA,0,0
1987,,Antelope,Riverside,Equipment Use,10/3/1987,10/3/1987,CDF,3275,NA,0,0
1987,,Grade,San Diego,Arson,10/4/1987,10/4/1987,CDF,2900,NA,0,0
1987,,Chular Canyon,Monterey,Equipment Use,10/6/1987,10/8/1987,CDF,410,NA,0,0
1987,Angeles,Ruby,Los Angeles,Miscellaneous,9/20/1987,9/24/1987,USFS,NA,10700,0,0
1987,Cleveland,Silverado,Orange,Arson,9/9/1987,9/13/1987,USFS,NA,5800,0,0
1987,Inyo,Laurel,Mono,Lightning,8/30/1987,9/2/1987,USFS,NA,1465,0,0
1987,Klamath,Andesite,Siskiyou,Railroad,9/24/1987,9/25/1987,USFS,NA,800,0,0
1987,Klamath,Bearcat,Siskiyou,Lightning,8/30/1987,9/9/1987,USFS,NA,2430,0,0
1987,Klamath,Slater,Siskiyou,Lightning,8/30/1987,9/6/1987,USFS,NA,4890,0,0
1987,Klamath,Fort Copper,Siskiyou,Lightning,8/30/1987,10/2/1987,USFS,NA,26840,0,0
1987,Klamath,Thompson,Siskiyou,Lightning,8/30/1987,9/29/1987,USFS,NA,9040,0,0
1987,Klamath,Happy,Siskiyou,Lightning,8/30/1987,9/6/1987,USFS,NA,300,1,0
1987,Klamath,Gulch,Siskiyou,Lightning,8/30/1987,9/19/1987,USFS,NA,14260,0,0
1987,Klamath,Big Buck,Siskiyou,Lightning,8/30/1987,9/20/1987,USFS,NA,475,0,0
1987,Klamath,Slide,Siskiyou,Lightning,8/30/1987,9/14/1987,USFS,NA,300,0,0
1987,Klamath,Elk Lick,Siskiyou,Lightning,8/30/1987,9/29/1987,USFS,NA,930,0,0
1987,Klamath,Ten/Bald,Siskiyou,Lightning,8/30/1987,10/15/1987,USFS,NA,19100,0,0
1987,Klamath,China,Siskiyou,Lightning,8/30/1987,9/9/1987,USFS,NA,3040,0,0
1987,Klamath,Grider/Lake,Siskiyou,Lightning,8/30/1987,9/19/1987,USFS,NA,15510,0,0
1987,Klamath,Cliff/Valley,Siskiyou,Lightning,8/30/1987,9/19/1987,USFS,NA,415,0,0
1987,Klamath,Kelsey,Siskiyou,Lightning,8/30/1987,9/17/1987,USFS,NA,4500,0,0
1987,Klamath,King/Titus,Siskiyou,Lightning,8/30/1987,9/29/1987,USFS,NA,52600,0,0
1987,Klamath,Cougar-I,Siskiyou,Lightning,8/30/1987,9/19/1987,USFS,NA,7505,0,0
1987,Klamath,Yellow,Siskiyou,Lightning,8/30/1987,10/25/1987,USFS,NA,47770,0,0
1987,Klamath,Glasgow,Siskiyou,Lightning,8/30/1987,9/15/1987,USFS,NA,13370,0,0
1987,Klamath,Nielon,Siskiyou,Lightning,8/30/1987,9/16/1987,USFS,NA,1490,0,0
1987,Klamath,Hotelling,Siskiyou,Lightning,8/30/1987,10/3/1987,USFS,NA,16075,1,0
1987,Klamath,St. Claire,Siskiyou,Lightning,8/30/1987,10/6/1987,USFS,NA,8600,0,0
1987,Lassen,Lost,Shasta,Lightning,8/31/1987,9/6/1987,USFS,NA,23000,0,0
1987,Lassen,Freaner,Shasta,Lightning,8/30/1987,9/5/1987,USFS,NA,425,0,0
1987,Los Padres,Fish,Ventura,Lightning,10/1/1987,10/8/1987,USFS,NA,4205,0,0
1987,Mendocino,Mendenhall,Mendocino,Lightning,8/31/1987,9/11/1987,USFS,NA,60655,0,0
1987,Mendocino,Cardenas,Mendocino,Lightning,8/30/1987,9/7/1987,USFS,NA,300,0,0
1987,Mendocino,Fouts Complex,Colusa,Lightning,8/31/1987,9/12/1987,USFS,NA,18037,0,0
1987,Mendocino,Slides,Tehama,Lightning,8/30/1987,9/11/1987,USFS,NA,1220,0,0
1987,Mendocino,Fork,Tehama,Lightning,8/31/1987,9/5/1987,USFS,NA,800,0,0
1987,Modoc,High Rock,Modoc,Lightning,9/2/1987,9/12/1987,USFS,NA,1156,0,0
1987,Modoc,Cedar,Modoc,Lightning,9/2/1987,9/6/1987,USFS,NA,709,0,0
1987,Plumas,French,Butte,Lightning,8/30/1987,9/5/1987,USFS,NA,430,0,0
1987,Plumas,Clark,Plumas,Lightning,8/30/1987,9/5/1987,USFS,NA,37530,4,0
1987,Sequoia,Fay/Top,Kern,Lightning,8/31/1987,9/6/1987,USFS,NA,13900,0,0
1987,Sequoia,Pierce,Tulare,Lightning,8/31/1987,9/3/1987,USFS,NA,690,0,0
1987,Shasta-Trinity,Lazyman,Tehama,Lightning,8/30/1987,9/12/1987,USFS,NA,2520,0,0
1987,Shasta-Trinity,Under,Shasta,Lightning,8/30/1987,9/6/1987,USFS,NA,510,0,0
1987,Shasta-Trinity,Flume,Trinity,Lightning,8/30/1987,9/21/1987,USFS,NA,11325,0,0
1987,Shasta-Trinity,Bear Wallow,Trinity,Lightning,8/30/1987,9/21/1987,USFS,NA,2150,0,0
1987,Shasta-Trinity,Gulch,Trinity,Lightning,8/30/1987,9/9/1987,USFS,NA,6800,1,0
1987,Shasta-Trinity,Bear-I,Trinity,Lightning,8/30/1987,9/12/1987,USFS,NA,5750,0,0
1987,Shasta-Trinity,Trinity,Trinity,Lightning,8/30/1987,9/9/1987,USFS,NA,1000,0,0
1987,Shasta-Trinity,Jessie,Trinity,Lightning,8/30/1987,9/9/1987,USFS,NA,3500,0,0
1987,Shasta-Trinity,Lucy,Trinity,Lightning,8/30/1987,9/9/1987,USFS,NA,950,0,0
1987,Shasta-Trinity,Friendly,Trinity,Lightning,8/30/1987,9/14/1987,USFS,NA,3400,0,0
1987,Shasta-Trinity,Cold,Trinity,Lightning,8/30/1987,9/19/1987,USFS,NA,13932,0,0
1987,Shasta-Trinity,Tule,Trinity,Lightning,8/30/1987,9/14/1987,USFS,NA,720,0,0
1987,Shasta-Trinity,Peanut,Trinity,Lightning,8/30/1987,9/14/1987,USFS,NA,6860,0,0
1987,Shasta-Trinity,Ripstein/East,Trinity,Lightning,8/30/1987,9/27/1987,USFS,NA,14800,0,0
1987,Shasta-Trinity,Strause,Trinity,Lightning,8/30/1987,10/6/1987,USFS,NA,5840,0,1
1987,Shasta-Trinity,China/Chance,Trinity,Lightning,8/30/1987,10/6/1987,USFS,NA,8235,0,0
1987,Shasta-Trinity,Backbone,Trinity,Lightning,8/30/1987,9/15/1987,USFS,NA,830,0,0
1987,Shasta-Trinity,Bear,Trinity,Lightning,8/30/1987,9/12/1987,USFS,NA,550,0,0
1987,Shasta-Trinity,Doe,Trinity,Lightning,8/30/1987,9/17/1987,USFS,NA,2026,0,0
1987,Six Rivers,Travis Complex,Trinity,Lightning,8/31/1987,9/7/1987,USFS,NA,11500,0,1
1987,Six Rivers,Blake,Humboldt,Lightning,8/30/1987,9/3/1987,USFS,NA,1895,0,0
1987,Six Rivers,Longwood,Del Norte,Lightning,8/30/1987,9/5/1987,USFS,NA,4000,0,0
1987,Stanislaus,River-II,,Lightning,8/30/1987,9/2/1987,USFS,NA,565,0,0
1987,Stanislaus,Jarrell,,Lightning,9/3/1987,9/11/1987,USFS,NA,1749,0,0
