Year,Region,Ranger_unit,Ranger_unit2,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures
1988,I,Humboldt-Del Norte,,Lake,8/26/1988,8/27/1988,CDF,550,,TG,Smkg.,
1988,I,Humboldt-Del Norte,,Saddle,9/4/1988,9/12/1988,CDF,6100,,TGB,Smkg.,
1988,I,Humboldt-Del Norte,,Klamath,9/11/1988,9/14/1988,CDF,6170,,T,Misc.,
1988,I,Humboldt-Del Norte,,Charles,12/15/1988,12/19/1988,CDF,808,,TG,Misc.,
1988,I,Lake-Napa,,Hwy 175,8/24/1988,8/24/1988,CDF,552,,WB,P/W/F,
1988,I,Lake-Napa,,Rumsey,9/11/1988,9/13/1988,CDF,1303,,B,Arson,
1988,I,Lake-Napa,,Miller,9/17/1988,9/23/1988,CDF,38600,,WBGAP,Arson,7
1988,I,Lake-Napa,,Resort,9/18/1988,9/18/1988,CDF,780,,B,Equip. Use,
1988,I,Lake-Napa,,Blue Ridge,9/18/1988,9/22/1988,CDF,5371,,WB,Equip. Use,
1988,I,Mendocino,,Shell Creek,9/18/1988,9/19/1988,CDF,360,,WG,Smkg.,
1988,I,Santa Clara,,Uvas,7/22/1988,7/24/1988,CDF,330,,WBG,Equip. Use,
1988,I,Sonoma,,River,8/24/1988,8/26/1988,CDF,1900,,TWG,Equip. Use,1
1988,I,Sonoma,,Geysers Series,9/11/1988,9/14/1988,CDF,352,,WB,Arson,
1988,I,Sonoma,,PG&E #19,9/11/1988,9/14/1988,CDF,8648,,TWBG,Equip. Use,3
1988,II,Butte,,Fields,12/14/1988,12/17/1988,CDF,200,100,T,Debris,
1988,II,Lassen-Modoc,,Lightning #97,8/10/1988,8/13/1988,CDF,3753,,TBG,Ltng.,
1988,II,Lassen-Modoc,,BLM 4516,8/10/1988,,BLM,,2000,N/A,N/A,
1988,II,Lassen-Modoc,,BLM 417,9/29/1988,,BLM,,2060,N/A,N/A,
1988,II,Lassen NF,,Campbell,8/31/1988,9/3/1988,USFS,,750,T,Ltng.,
