Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures
1990,I,Humboldt-Del Norte,King,8/10/1990,8/14/1990,CDF,3500,,TG,Ltng.,
1990,I,Humboldt-Del Norte,Mattole #2,8/8/1990,8/24/1990,CDF,5000,,T,Ltng.,
1990,I,Humboldt-Del Norte,Peaks,8/8/1990,8/15/1990,CDF,500,,T,Ltng.,
1990,I,Humboldt-Del Norte,Shipman,8/7/1990,8/8/1990,CDF,3500,,T,Ltng.,
1990,I,Humboldt-Del Norte,Rainbow,8/8/1990,8/12/1990,CDF,1500,,T,Ltng.,
1990,I,Humboldt-Del Norte,Island Mt. Series,9/20/1990,9/22/1990,CDF,1470,,TGW,Equip. Use,1
1990,I,Lake-Napa,Eagle,8/6/1990,8/7/1990,CDF,1760,180,WB,Arson,
1990,I,Santa Clara,Long Gulch,7/14/1990,7/17/1990,CDF,2100,,GWB,Misc.,
1990,II,Lassen-Modoc,Day,8/10/1990,8/13/1990,USFS,4166,541,TGWB,Ltng.,3
1990,II,Lassen-Modoc,Lightning #79,8/10/1990,8/12/1990,BLM,178,400,B,Ltng.,
1990,II,Nevada-Yuba-Placer,Forest Hill,7/20/1990,7/20/1990,CDF,300,,GB,Arson,
1990,II,Shasta-Trinity,Bald,8/9/1990,8/12/1990,CDF,2782,,GW,Ltng.,
1990,II,Shasta-Trinity,Kanaka,8/8/1990,8/15/1990,NPS,1396,1673,TGB,Ltng.,
1990,II,Shasta-Trinity,Devil,8/8/1990,8/15/1990,CDF,600,,TW,Ltng.,
1990,II,Shasta-Trinity,Bow,8/9/1990,8/13/1990,CDF,650,,T,Ltng.,
1990,II,Shasta-Trinity,Bear,8/8/1990,8/12/1990,USFS,1175,300,TGWB,Ltng.,
1990,II,Shasta-Trinity,Long Valley,8/10/1990,8/15/1990,CDF,110,490,TWB,Ltng.,
1990,II,Tehama-Glenn,Pine (Campbell),8/6/1990,8/16/1990,CDF,86388,39504,TGWB,Equip. Use,27
1990,II,Tehama-Glenn,Dye,8/6/1990,8/8/1990,CDF,4973,227,WB,Equip. Use,
1990,II,Tehama-Glenn,Mud,8/8/1990,8/10/1990,CDF,4500,,W,Ltng.,2
1990,II,Tehama-Glenn,Elk Horn,8/9/1990,8/14/1990,CDF,15,309,B,Ltng.,
1990,III,Riverside,Bedford 923,6/27/1990,6/29/1990,CDF,2190,,B,Misc.,
1990,III,Riverside,State 914,6/27/1990,6/27/1990,CDF,800,,B,Misc.,2
1990,III,San Bernardino,Shultz (Yorba),7/12/1990,7/13/1990,CDF,6040,,G,Play w/fire,1
1990,III,San Diego,Morrettis,6/28/1990,6/30/1990,BIA,2510,1840,GB,Arson,5
1990,III,San Diego,Bingo Rincon #3,6/26/1990,6/27/1990,BIA,,300,B,Arson,
1990,III,San Diego,Dehesa #2,6/27/1990,6/28/1990,CDF,1500,,B,Misc.,5
1990,III,San Diego,Cuyamaca,8/6/1990,8/8/1990,CDF,400,,WB,Ltng.,
1990,III,San Diego,Paint,9/10/1990,9/13/1990,CDF,3400,,WB,Equip. Use,21
1990,III,San Luis Obispo,SLU 1626,6/20/1990,6/21/1990,CDF,600,,WB,Arson,3
1990,IV,Amador-El Dorado,Butte PG&E #24,11/6/1990,11/7/1990,CDF,640,,GB,Equip. Use,
