Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1994,Coast,Klamath NF,Dillon Complex,7/20/1994,8/18/1994,USFS,,28953,N/A,Lightning,0,0,0,0
1994,Coast,Mendocino ANF-3414,Fish,8/15/1994,8/18/1994,CDF,635,,T,Equip. Use,0,0,0,0
1994,Coast,Mendocino NF,Sugarfoot,8/27/1994,,USFS,,2788,N/A,N/A,0,0,0,0
1994,Coast,Klamath NF,Specimen,9/17/1994,,USFS,,6463,N/A,Lightning,0,0,0,0
1994,Cascade,Shasta-Trinity,Schindel Escape,4/4/1994,4/5/1994,CDF,670,,B,Arson,0,0,0,0
1994,Cascade,Plumas NF,,6/3/1994,6/4/1994,USFS,,2000,N/A,N/A,0,0,0,0
1994,Cascade,Butte,Raulson,6/30/1994,7/1/1994,CDF,1000,,W,Equipment,13,0,0,0
1994,Cascade,Shasta-Trinity,Browns,7/12/1994,7/14/1994,CDF,1650,,TB,Vehicle,4,1,0,0
1994,Cascade,Lassen-Modoc,Lightning #58,7/23/1994,7/23/1994,CDF,1550,,G,Lightning,0,0,0,0
1994,Cascade,Tahoe NF (USFS Assist),Crystal,8/4/1994,8/7/1994,USFS,,7310,N/A,Equip. Use,0,0,0,0
1994,Cascade,Nevada-Yuba-Placer,PG&E (Trauner),8/7/1994,8/8/1994,CDF,500,,TWB,Elec. Pow.,0,34,0,0
1994,Cascade,Nevada-Yuba-Placer,Hirschdale,8/11/1994,8/14/1994,CDF,325,,B,Elec. Pow.,0,0,0,0
1994,Cascade,Lassen-Modoc,Widow,8/17/1994,8/17/1994,CDF,350,,T,Vehicle,0,0,0,0
1994,Cascade,Tahoe NF,Cottonwood,8/16/1994,8/24/1994,USFS,,43800,N/A,N/A,0,0,0,0
1994,Cascade,Nevada-Yuba-Placer,Bridge,8/24/1994,8/24/1994,CDF,310,,B,Undet.,0,0,0,0
1994,Cascade,Lassen NF,Barkley,9/18/1994,9/24/1994,CDF,12462,27938,G,Lightning,0,0,0,0
1994,Cascade,Butte,Barkley,9/18/1994,9/24/1994,CDF,1818,,TB,Lightning,0,0,0,0
