Year,Region,Ranger_unit,County,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2005,Coast,Santa Clara,,Tesla,7/19/2005,7/20/2005,CDF,6744,,G,Arson,N/A,1,N/A,N/A
2005,Coast,Sonoma-Lake-Napa,,Clover,9/16/2005,9/17/2005,CDF,751,,WB,Undet.,1,N/A,N/A,N/A
2005,Coast,Sonoma-Lake-Napa,,Rumsey Series #3,10/11/2005,10/12/2005,CDF,451,,GB,Undet.,N/A,N/A,N/A,N/A
2005,Cascade,Tehama-Glenn,,36-2,8/10/2005,8/11/2005,CDF,2700,,W,Equip. Use,N/A,N/A,N/A,N/A
2005,Cascade,Tehama-Glenn,,Manton,8/26/2005,8/29/2005,CDF,1830,,B,Vehicle,29,1,N/A,N/A
2005,South,Riverside,,Soboba,6/22/2005,6/24/2005,CDF,2000,,GB,Equip. Use,N/A,N/A,N/A,N/A
2005,South,Riverside,,State Fire,9/28/2005,9/28/2005,CDF,1100,,B,Misc.,3,N/A,N/A,N/A
2005,South,Riverside,,Woodhouse,10/5/2005,10/7/2005,CDF,6500,,B,Railroad,N/A,N/A,N/A,N/A
2005,South,San Bernardino,,Paradise,6/22/2005,6/25/2005,CDF,3082,,B,Undet.,6,8,N/A,N/A
2005,South,San Bernardino,,Pioneer,6/18/2005,6/19/2005,OTHER,,1876,GB,Undet.,N/A,N/A,N/A,N/A
2005,South,San Diego,,Border #50,10/5/2005,10/8/2005,CDF,4103,,TB,Undet.,N/A,N/A,N/A,N/A
2005,South,San Diego,,Volcan,9/6/2005,9/11/2005,CDF,685,,T,Vehicle,30,N/A,N/A,N/A
2005,Sierra,Fresno-Kings,,Five,6/4/2005,6/5/2005,CDF,5514,,G,Vehicle,N/A,N/A,N/A,N/A
2005,Sierra,Madera-Mariposa,,Cowpie,8/1/2005,8/1/2005,CDF,3200,,G,Misc.,N/A,N/A,N/A,N/A
2005,Sierra,Madera-Mariposa,,Quartz,7/25/2005,7/27/2005,CDF,550,,B,Equip. Use,2,N/A,N/A,N/A
2005,Sierra,San Benito-Monterey,,CABEU003316,9/4/2005,9/5/2005,OTHER,,1393,GB,Vehicle,N/A,N/A,N/A,N/A
2005,Sierra,Tulare,,Millwood,7/7/2005,7/7/2005,CDF,2600,,W,Arson,N/A,N/A,N/A,N/A
2005,Sierra,Tulare,,Pine,9/19/2005,9/19/2005,CDF,1600,,W,Arson,N/A,N/A,N/A,N/A
2005,,,Los Angeles/Ventura,Topanga,9/28/2005,,CDF,24175,,N/A,Unidentified,13,N/A,N/A,N/A
