Year,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Civilian_fatalities
2008,San Bernardino,Bluff,3/16/2008,3/20/2008,CDF,680,"Brush, Grass",Campfire,0,0,0
2008,Tehama-Glenn,Colyear,5/6/2008,5/9/2008,CDF,1331,Brush,Debris,0,0,0
2008,Fresno-Kings,Avocado,5/20/2008,5/21/2008,CDF,1100,Grass,Equipment Use,0,0,0
2008,Fresno-Kings,Gatos,5/22/2008,5/22/2008,CDF,331,Grass,Misc.,0,0,0
2008,Santa Clara,Summit,5/22/2008,6/15/2008,CDF,4270,Timber,Unidentified,91,0,0
2008,Riverside,Johnson VMP,5/28/2008,5/29/2008,CDF,424,Grass,"Debris, veg burn",0,0,0
2008,Sonoma-Lake-Napa,85,6/5/2008,6/5/2008,CDF,322,Grass,Equipment Use,0,0,0
2008,Sonoma-Lake-Napa,Pine,6/10/2008,10/14/2008,CDF,989,"Brush, Grass",Unidentified,0,0,0
2008,Tuolumne-Calaveras,LaGrange,6/10/2008,6/12/2008,CDF,1346,Grass,Equipment Use,2,0,0
2008,Madera-Mariposa,41,6/10/2008,6/11/2008,CDF,3300,Grass,Equipment Use,0,0,0
2008,Butte,Ophir,6/10/2008,6/11/2008,CDF,1600,Grass,Unidentified,41,0,0
2008,Butte,Humboldt,6/11/2008,6/16/2008,CDF,23344,Grass,Arson,351,0,0
2008,San Mateo-Santa Cruz,Martin Fire,6/11/2008,6/30/2008,CDF,520,"Timber, Grass",Campfire,14,0,0
2008,San Mateo-Santa Cruz,Trabing,6/20/2008,6/22/2008,CDF,630,"Timber, Brush, Grass",Equipment Use,87,0,0
2008,Mendocino,Albion River Lightning,6/20/2008,6/30/2008,CDF,1000,Timber,Lightning,0,0,0
2008,San Benito-Monterey,Brown Complex,6/21/2008,6/25/2008,CDF,3870,Grass,Lightning,0,0,0
2008,Mendocino,Mallo-B Lightning,6/21/2008,7/17/2008,CDF,4466,Timber,Lightning,0,0,0
2008,Mendocino,Brushy 3 Lightning,6/21/2008,7/13/2008,CDF,327,Grass,Lightning,0,0,0
2008,Mendocino,Oso Lightning,6/21/2008,7/13/2008,CDF,373,Brush,Lightning,0,0,0
2008,Mendocino,Red Mountain 1 Lightning,6/21/2008,8/1/2008,CDF,7515,Unknown,Lightning,0,0,0
2008,Mendocino,Wagers Lightning,6/21/2008,6/21/2008,CDF,3000,Timber,Lightning,1,0,0
2008,Mendocino,Jack Smith Lightning,6/21/2008,7/13/2008,CDF,3000,Timber,Lightning,0,0,0
2008,Sonoma-Lake-Napa,Wild,6/21/2008,6/26/2008,CDF,4200,Grass,Unidentified,0,0,0
2008,Shasta-Trinity,STA 57 ONO CDF IGO 2,6/21/2008,7/24/2008,CDF,4000,Timber,Lightning,0,0,0
2008,Shasta-Trinity,Whitmore Rd/Old Cow C2,6/21/2008,7/15/2008,CDF,2054,Timber,Lightning,0,0,0
2008,Shasta-Trinity,Coleman Fish Hatchery,6/21/2008,7/2/2008,CDF,388,Timber,Lightning,0,0,0
2008,Shasta-Trinity,Donkey Mine Rd/Oak RU,6/21/2008,7/2/2008,CDF,557,"Brush, Grass",Lightning,0,0,0
2008,Shasta-Trinity,EO2A,6/21/2008,7/6/2008,CDF,1200,Brush,Lightning,0,0,0
2008,Shasta-Trinity,Stein,6/21/2008,7/7/2008,CDF,1148,Timber,Lightning,0,0,0
2008,Shasta-Trinity,Moon,6/21/2008,8/9/2008,CDF,6030,Timber,Lightning,0,0,0
2008,Mendocino,Daugherty Gate,6/21/2008,7/13/2008,CDF,3000,Timber,Lightning,0,0,0
2008,Shasta-Trinity,IGO 6,6/21/2008,7/24/2008,CDF,4200,Timber,Lightning,0,0,0
2008,Shasta-Trinity,Plantina 4,6/21/2008,7/4/2008,CDF,12980,Timber,Lightning,0,0,0
2008,Shasta-Trinity,Lewiston 8,6/21/2008,7/23/2008,CDF,1311,Timber,Lightning,0,0,0
2008,Shasta-Trinity,IGO 13,6/21/2008,7/24/2008,CDF,600,Timber,Lightning,0,0,0
2008,Shasta-Trinity,IGO 15,6/21/2008,7/24/2008,CDF,1200,Timber,Lightning,0,0,0
2008,Shasta-Trinity,IGO 16,6/21/2008,7/24/2008,CDF,4800,Timber,Lightning,0,0,0
