Year,Incident_number,County,Fire_name,Start,Contained,DPA,DPA2,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2010,RRU-041963,Riverside,Pedley,5/12/2010,5/13/2010,CALFIRE,NA,850,,G,Equipment,0,0,0,0
2010,KRN-1013254,Kern,Metzen,5/15/2010,5/15/2010,CALFIRE,CC,360,,G,Other,1,0,0,0
2010,RRU-044545,Riverside,McKinley,5/20/2010,5/22/2010,CALFIRE,NA,1000,,G,Equipment,0,0,0,0
2010,TUU-000098,Tulare,Bale,6/4/2010,6/4/2010,CALFIRE,NA,485,,G,Equipment,0,0,0,0
2010,MMU-007933,Merced,Childs,6/5/2010,6/5/2010,CALFIRE,NA,462,,G,Human,0,0,0,0
2010,FKU-006047,Fresno,Whites,6/7/2010,6/7/2010,CALFIRE,NA,350,,G,Equipment,0,0,0,0
2010,SCU-002282,Stanislaus,Stuhr,6/8/2010,6/10/2010,CALFIRE,NA,586,,G,Equipment,0,0,0,0
2010,MMU-008291,Merced,Robinson,6/11/2010,6/12/2010,CALFIRE,NA,1600,,G,Undetermined,0,0,0,0
2010,SCU-002461,Alameda,Diablo,6/18/2010,6/19/2010,CALFIRE,NA,475,,G,Undetermined,1,0,0,0
2010,BTU-007746,Butte,Palermo,7/4/2010,7/5/2010,CALFIRE,NA,900,,BG,Misuse of Fire,0,0,0,0
2010,SBC-006024,Santa Barbara,166,7/12/2010,7/12/2010,CALFIRE,CC,350,,G,Undetermined,1,0,0,0
2010,RRU-062375,Riverside,Skinner,7/15/2010,7/18/2010,CALFIRE,NA,503,,G,Lightning,0,0,0,0
2010,RRU-062442,Riverside,Cactus,7/15/2010,7/18/2010,CALFIRE,NA,720,,G,Lightning,1,0,0,0
2010,KRN-0021461,Kern,West,7/27/2010,8/6/2010,CALFIRE,CC,1658,,BG,Equipment,50,13,0,0
2010,LAC-10169202,Los Angeles,Crown,7/29/2010,8/3/2010,CALFIRE,CC,14000,,BG,Undetermined,10,6,0,0
2010,TUU-000320,Tulare,Stokes 2,8/17/2010,8/18/2010,CALFIRE,NA,879,,G,Other,0,0,0,0
2010,NEU-017796,Placer,Baseline,8/20/2010,8/21/2010,CALFIRE,NA,434,,G,Undetermined,0,0,0,0
2010,MVU-009309,San Diego,Monte,8/21/2010,8/23/2010,CALFIRE,NA,2000,,BGT,Misuse of Fire,0,0,0,0
2010,SLU-006481,San Luis Obispo,Pozo,8/21/2010,8/22/2010,CALFIRE,NA,1200,,BG,Undetermined,0,0,0,0
2010,LNU-006365,Lake,Indian,8/24/2010,8/26/2010,CALFIRE,NA,450,,B,Undetermined,0,0,0,0
2010,KRN-0024500,Kern,Post,8/25/2010,8/28/2010,CALFIRE,CC,1312,,G,Undetermined,0,0,0,0
2010,NEU-8316,Nevada,Bullards,8/27/2010,9/13/2010,CALFIRE,NA,1500,,G,Other,0,0,0,0
2010,MVU-009767,San Diego,Cowboy,9/2/2010,9/7/2010,CALFIRE,NA,827,,B,Undetermined,0,0,0,0
2010,CND-1112,San Luis Obispo,Cotton,5/15/2010,5/17/2010,USFS,NA,,2044,G,Undetermined,0,0,0,0
2010,MCP-2054,San Diego,Aliso,7/13/2010,7/15/2010,MIL,USFS,,3225,BG,Miscellaneous,0,0,0,0
2010,CND-2466,Kern,Bodfish,7/15/2010,7/18/2010,USFS,NA,,552,BG,Lightning,0,0,0,0
2010,CDD-11051,Kern,Sand 2,7/16/2010,7/22/2010,USFS,NA,,1254,B,Lightning,0,0,0,0
2010,KNP-0039,Fresno,Sheep,7/16/2010,10/25/2010,NPS,NA,,9020,T,Lightning,0,0,0,0
2010,CDD-11175,Kern,Indian,7/18/2010,7/24/2010,USFS,NA,,1822,G,Lightning,0,0,0,0
2010,OVD-903,Mono,Patato,7/24/2010,7/27/2010,USFS,NA,,686,B,Lightning,0,0,0,0
2010,YNP-2777,Tuolumne,Slope,7/25/2010,1/23/2010,NPS,NA,,1711,T,Lightning,0,0,0,0
2010,INF-934,Mono,Mono,7/26/2010,7/29/2010,USFS,NA,,1205,B,Lightning,0,0,0,0
2010,SQF-2701,Kern,Bull,7/26/2010,8/10/2010,USFS,NA,,16442,B,Miscellaneous,14,0,0,0
2010,NOD-3688,Lassen,McDonald,7/27/2010,8/10/2010,USFS,NA,,9408,BG,Lightning,0,0,0,0
2010,ANF-3201,Los Angeles,Briggs,7/29/2010,7/30/2010,USFS,NA,,510,B,Undetermined,0,0,0,0
2010,KNF-5561,Siskiyou,Dutch,7/31/2010,8/4/2010,USFS,NA,,371,TG,Undetermined,0,0,0,0
2010,PNF-0700,Plumas,Bar,7/31/2010,8/10/2010,USFS,NA,,1040,T,Undetermined,0,0,0,0
2010,SNF-1497,Madera,Buckhorn,8/7/2010,10/30/2010,USFS,NA,,466,T,Lightning,0,0,0,0
2010,YMP-3213,Tuolumne,Vernon,8/8/2010,10/31/2010,NPS,NA,,909,T,Lightning,0,0,0,0
2010,STF-2269,Tuolumne,Pinecrest,8/9/2010,10/15/2010,USFS,NA,,799,T,Lightning,0,0,0,0
2010,TNF-1579,Yuba,Bullard,8/27/2010,8/31/2010,USFS,NA,,1307,T,Human,0,0,0,0
2010,STF-35641,Kern,Canyon,9/12/2010,9/19/2010,CC,NA,,9820,GB,Undetermined,1,0,0,0
2010,AFV-3344,Santa Barbara,Bear Creek,10/28/2010,10/30/2010,MIL,NA,,1253,T,Powerline,0,0,0,0
