FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
0,323,CA,BLM,BBD,FLUME,00001725,2005-07-03,2005-07-03,8, ,12,10.17529964,1,1,00001725,947.0080291,41178.1292,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,9.09161
1,326,CA,BLM,BBD,EAGLE,00002712,2005-08-23,2005-08-24,1, ,70,69.65049744,1,1,00002712,3625.273116,281865.5223,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,0.00789
2,328,CA,BLM,BBD,PENO BLANC,0000B31Y,2005-08-07,2005-08-07,2, ,50,49.6487999,6,1,0000B31Y,2594.33207,200921.7021,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,35.91599
3,333,CA,BLM,BBD,MARSHES,0000BXY8,2005-07-01,2005-07-01,11, ,21,76.29789734,1,1,0000BXY8,3140.873061,308766.6298,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,0.536
4,335,CA,BLM,CDD,RECHE,00021599,2005-06-29,2005-06-29,14, ,9,9.165630341,1,1,00021599,1149.298219,37091.99768,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,6.25031
5,336,CA,CDF,BDU,PIONEER,00006148,2005-06-19,2005-06-20,14, ,1876,1877.540039,2,1,00006148,15070.73921,7598129.464,0,2005,PIONEER, ,South,OTHER,San Berrdino, ,6/18/2005,6/19/2005,0,1876,1876,GB,Undetermined,0, , , , , , , , ,0,0,0,2005,2.40241
6,349,CA,BLM,CDD,BENT,0000BVS5,2005-06-22,2005-06-22,1, ,78,78.83519745,1,1,0000BVS5,3093.118786,319034.8039,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,54.93166
7,352,CA,BLM,CDD,CLAY RIVER,0000BZK8,2005-07-08,2005-07-08,1, ,121,75.49230194,1,1,0000BZK8,2753.940368,305506.6447,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,60.46219
8,356,CA,CCO,LAC,TOVEY,05141999,2005-07-05,2005-07-08,14, ,1200,983.4730225,1,1,05141999,14377.28374,3979973.97,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,44.70158
9,361,CA,CDF,CDD,POPPET FIRE,00020550,2005-06-16,2005-06-21,18, ,165,220.7700043,2,1,00020550,5894.66492,893424.351,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2005,21.60745
