FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
0,502,CA,CDF,BEU,HERNANDEZ,00001285,1979-08-03,,14, ,0,680.9229736,0,1,00000338,8355.561608,2755599.353,0,1979,HERNDEZ, ,V,CDF,San Benito-Monterey, , , ,765,0,765,WB,Equipment use,0, , , , , , , , ,0,0,0,1979,0.0469
1,509,CA,CDF,BTU,WILD,00002652,1990-06-08,,2, ,0,256.8089905,0,1,00010389,4404.601672,1039270.808,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,0.03968
2,513,CA,CCO,VNC,SAPRA,00000000,1990-07-05,,14, ,0,127.8010025,0,1,00000000,3217.211421,517192.7406,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,116.38924
3,514,CA,CCO,VNC,SHIELLS,00000000,1990-10-09,,14, ,0,403.2380066,0,1,00000000,7695.347165,1631845.244,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,79.40028
4,515,CA,CCO,VNC,POLE,00000000,1990-06-23,,14, ,0,257.2049866,0,1,00000000,4751.437635,1040871.161,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,0.77323
5,527,CA,CCO,MRN,OAK MANOR,00000931,1982-07-15,,14, ,0,70.30180359,0,1,00000013,2680.598854,284501.246,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1982,64.25488
6,788,CA,CCO,LAC,WEBB FIRE II,00121026,1990-06-28,,14, ,0,339.678009,0,1,00000990,8925.723622,1374629.438,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,208.14297
7,789,CA,CCO,LAC, ,00000000,1990-01-05,,14, ,0,1.796200037,0,1,00000000,320.8279399,7268.981641,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,1.7962
8,836,CA,USF,MDF,COYOTE,00000000,1981-09-17,1981-09-19,1, ,525,396.7569885,8,1,00000039,6192.967479,1605618.445,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1981,6.95365
9,839,CA,CCO,MRN,BRONCO,00001023,1981-08-14,,14, ,0,45.24890137,0,1,00000042,1712.251482,183115.7053,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1981,0.07456
10,2069,CA,CCO,ORC,RIDGE LINE,00000000,1994-06-24,,14, ,0,706.401001,0,1,00000000,9867.620922,2858703.619,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1994,7.04835
11,2074,CA,CCO,VNC,COZY DELL,00000000,1990-09-01,,14, ,0,2974.560059,0,1,00000000,15494.87456,12037626.66,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,274.17317
12,2075,CA,CCO,VNC,LOS PADRES,00000000,1990-09-01,,14, ,0,20539.80078,0,1,00000000,46191.49564,83121767.56,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,744.54413
13,2076,CA,CCO,VNC,MATILIJA,00000000,1990-04-01,,14, ,0,2641.090088,0,1,00000000,22587.04458,10688119.42,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,533.86848
14,2451,CA,CCO,LAC, ,00000000,1990-10-12,,14, ,0,4.904059887,0,1,00000000,591.5782561,19846.02365,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,4.90406
15,2452,CA,CCO,LAC, ,00000000,1990-06-25,,14, ,0,49.77939987,0,1,00000000,1921.925328,201449.903,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,39.48192
16,2700,CA,CDF,FKU, ,00007687,1988-07-23,,14, ,0,176.3939972,0,1,00000150,4049.222039,713839.19,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1988,103.76268
17,2776,CA,CDF,RRU,RAINBOW,00042950,1992-09-27,,7, ,0,2694.47998,0,1,00001536,16835.74463,10904158.22,0,1992,RAINBOW, ,III,CDF,Riverside, ,9/27/1992,9/29/1992,2880,0,2880,B,Arson,2, , , , , , , ,0,0,0,2,1992,1260.60835
18,2777,CA,CDF,MVU,BRAVO,00000000,1992-11-06,,14, ,0,2023.849976,0,1,000022.0,16751.37026,8190219.576,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,176.45024
19,2779,CA,CDF,MVU,WILLOW,00000000,1992-05-17,,14, ,0,233.4980011,0,1,000015.0,4812.291147,944931.5659,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,196.96945
20,2786,CA,CDF,HUU,MARTIN,00002405,1992-09-19,,14, ,0,1579.47998,0,1,00000279,16512.38985,6391946.248,0,1992,MARTIN SERIES, ,I,CDF,Humboldt-Del Norte, ,9/19/1992,9/22/1992,1453,0,1453,TB,Arson,1, , , , , , , ,0,0,0,1,1992,55.42073
21,2788,CA,CDF,TCU,SPARKS,00002237,1992-05-20,,9, ,0,348.6900024,0,1,00000314,4763.91116,1411099.606,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,348.69031
22,2897,CA,USF,BDF,LYTLE,00000000,1984-05-28,1984-06-01,9, ,2100,2430.860107,7,1,00000069,20860.26297,9837332.546,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1984,77.71979
23,2898,CA,CDF,BDU,LOS FLORES,00005268,1984-05-30,,14, ,0,288.3840027,0,1,00000444,4990.535251,1167050.111,0,1984,LOS FLORES, ,VI,CDF,San Berrdino, ,5/30/1984,5/30/1984,316,0,316,B,Lightning,0, , , , , , , , ,0,0,0,1984,8.36831
24,2935,CA,USF,BDF,BROOK,00000000,1995-08-20,1995-08-20,2, ,26,25.55400085,8,1,00000118,1346.590045,103413.5495,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1995,0.26927
25,2937,CA,USF,SQF,BINGO,00000000,1995-09-07,1995-09-08,7, ,50,68.00640106,8,1,00000071,3451.732829,275212.1514,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1995,4.72442
26,3137,CA,USF,KNF,YELLOW,00000000,1987-08-30,1987-11-20,1, ,47590,51060.10156,8,1,00000217,92167.16588,206632752,0,1987,YELLOW, , ,USFS, , ,8/30/1987,10/25/1987,0,47770,47770, ,Lightning,0, ,Klamath,Siskiyou, , , , , ,0,0,0,1987,3.15459
27,3139,CA,USF,KNF,GLASGOW,00000000,1987-08-30,1987-09-22,1, ,13370,13863.5,8,1,00000223,40540.13605,56103606.47,0,1987,GLASGOW, , ,USFS, , ,8/30/1987,9/15/1987,0,13370,13370, ,Lightning,0, ,Klamath,Siskiyou, , , , , ,0,0,0,1987,98.17076
28,3807,CA,USF,BDF, ,00000000,,,14, ,0,212.7339935,0,1,00000000,3921.851867,860904.669,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,17.77082
29,3809,CA,USF,BDF, ,00000000,,,14, ,0,84.03500366,0,1,00000000,2497.453044,340077.4507,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,11.57683
30,3810,CA,USF,BDF, ,00000000,,,14, ,0,286.8359985,0,1,00000000,4361.905044,1160785.05,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,25.22353
31,3813,CA,CCO,LAC,LAKE FIRE,00921161,1992-08-16,,14, ,0,94.75080109,0,1,00000042,3502.634816,383442.803,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,6.47431
32,3815,CA,CCO,LAC,BOUQUET FIRE,00921795,1992-11-11,,14, ,0,120.4540024,0,1,00000055,3647.132587,487460.176,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,91.15974
33,3817,CA,CCO,LAC,MADD FIRE,00921323,1992-09-17,,14, ,0,71.64150238,0,1,00000004,3143.730237,289923.0422,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,0.00018
34,3818,CA,CCO,LAC,VINEHILL FIRE,00921162,1992-08-16,,14, ,0,11.58990002,0,1,00000019,910.5618707,46902.5318,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,11.58987
35,3821,CA,CCO,LAC,MULHOLLAND FIRE,00000000,1992-07-30,,14, ,0,39.42539978,0,1,00000000,2339.710909,159548.9603,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,3.22037
36,3824,CA,CCO,LAC,AVENUE 5,00000000,1992-08-14,,14, ,0,25.74029922,0,1,00000000,1267.726508,104167.3964,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1992,3.40399
37,4345,CA,CCO,VNC,SOUTH MOUNTAIN,00000000,1980-10-29,,14, ,0,2395.300049,0,1,00000000,19331.51388,9693434.931,0,1980,SOUTH MOUNTAIN, ,VI,CC,San Berrdino, , , ,0,3600,3600,B,Equipment use,0, , , , , , , , ,0,0,0,1980,158.18834
38,4346,CA,CCO,VNC,HILL CANYON,00000000,1980-10-28,,14, ,0,11975.2002,0,1,00000000,52784.50753,48462113.54,0,1980,HILL, ,VI,CC,San Berrdino, , , ,0,8700,8700,B,Campfire,0, , , , , , , , ,0,0,0,1980,2420.28686
39,5138,CA,USF,CNF,ROBLAR,00000000,1985-07-01,1985-07-04,9, ,8425,8136.140137,8,1,00000024,32264.69921,32925783.71,0,1985,ROBLAR, ,VI,MILITARY,San Diego, ,7/1/1985,7/5/1985,1225,7200,8425,BGA,Weapons,2, , , , , , , , ,0,0,2,1985,88.68739
40,5139,CA,USF,CNF,REY,00000000,1985-06-26,1985-06-27,9, ,551,1474.310059,8,1,00000018,12577.87206,5966312.185,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1985,24.21291
41,5145,CA,USF,BDF,SHADOW,00000000,1979-09-15,1979-09-18,2, ,2300,2601.01001,8,1,00000191,12970.53518,10525908.05,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,364.92452
42,5146,CA,USF,ENF,CHILI BAR,00000000,1979-09-16,1979-09-22,4, ,7024,6927.490234,8,1,00000045,28543.14478,28034538.62,0,1979,CHILI BAR, ,IV,CDF,Amador-El Dorado, , , ,6884,140,7024,TWBGAP,Campfire,7, , , , , , , , ,0,0,7,1979,1534.02353
43,5210,CA,CDF,TCU,MOCASSIN,00003985,1992-08-01,,4, ,0,9458.459961,0,1,00000697,37651.28147,38277032.7,0,1992,MOCCASIN, ,IV,CDF,Tuolumne-Calaveras, ,8/1/1992,8/4/1992,8370,0,8370,TGWP,Campfire,6, , , , , , , ,5,0,0,11,1992,273.74113
44,5213,CA,CDF,LNU,GEYSERS FIRE,00000963,1991-10-20,,14, ,0,5770.720215,0,1,00000000,28906.1452,23353268.31,0,1991,GEYSERS, ,I,CDF,Sonoma, ,10/20/1991,10/23/1991,5884,241,6125,BWG,Electrical power,0, , , , , , , ,0,0,0,0,1991,97.23427
45,5232,CA,CCO,LAC, ,00000000,1979-06-30,,14, ,0,2.087739944,0,1,00000000,424.7076246,8448.798919,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,1.07496
46,5235,CA,CCO,LAC,MILLIE FIRE,00318061,1979-09-19,,14, ,0,1996.290039,0,1,00002254,23206.00825,8078702.777,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,274.10654
47,5237,CA,USF,CNF, ,00000000,,,9, ,0,90.5963974,0,1,00000176,2811.317579,366630.6483,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,89.51454
