Fire_name_year,Year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
BIDWELL_1984,1984,II,Butte,NA,BIDWELL,0007-02-19,0007-05-19,CDF,6900,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLM D 284_1984,1984,II,Lassen-Modoc,NA,BLM D 284,0007-05-19,NA,BLM,NA,12100,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLM D 337_1984,1984,II,Lassen-Modoc,NA,BLM D 337,0008-11-19,NA,BLM,NA,1480,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAGLE_1984,1984,II,Lassen-Modoc,NA,EAGLE,0008-12-19,NA,CDF,580,NA,T,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MODOC N.F. 094_1984,1984,II,Lassen-Modoc,NA,MODOC N.F. 094,NA,NA,USFS,NA,4000,TB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P.N.F. 115_1984,1984,II,Lassen-Modoc,NA,P.N.F. 115,NA,NA,USFS,NA,1100,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOLAM_1984,1984,II,Siskiyou,NA,BOLAM,0011-01-19,0011-02-19,CDF,370,NA,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOWERY_1984,1984,II,Tehama-Glenn,NA,LOWERY,0007-12-19,NA,CDF,2645,NA,WBG,Campfire,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MILL CREEK_1984,1984,II,Tehama-Glenn,NA,MILL CREEK,NA,NA,CDF,4020,NA,W,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHERMAN #1_1984,1984,IV,Fresno-Kings,NA,SHERMAN #1,NA,NA,CDF,440,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLAT TOP_1984,1984,IV,Fresno-Kings,NA,FLAT TOP,NA,NA,CDF,6825,NA,BG,Electrical power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BARTON_1984,1984,IV,Fresno-Kings,NA,BARTON,NA,NA,CDF,300,NA,BG,Playing with fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHINA HAT_1984,1984,IV,Madera-Mariposa,NA,CHINA HAT,NA,NA,CDF,2000,NA,G,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FAY RANCH_1984,1984,IV,Kern County,NA,FAY RANCH,0005-08-19,0005-10-19,CC,NA,1175,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WOODROW_1984,1984,IV,Kern County,NA,WOODROW,NA,NA,CC,NA,1200,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KERN #10_1984,1984,IV,Kern County,NA,KERN #10,NA,NA,CC,NA,300,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WELLS_1984,1984,IV,Tulare,NA,WELLS,0007-05-19,0007-06-19,CDF,407,NA,W,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BODFISH_1984,1984,IV,Kern County,NA,BODFISH,0007-07-19,NA,CC,NA,23200,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USFS #13_1984,1984,IV,Sequoia NF,NA,USFS #13,NA,NA,USFS,NA,480,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USFS #14_1984,1984,IV,Kern County,Los Padres NF,USFS #14,0008-10-19,0008-12-19,USFS,NA,2405,BG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KERN CO. #25_1984,1984,IV,Kern County,NA,KERN CO. #25,NA,NA,CC,NA,1500,BG,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
