Firename_year,Fire_year_month,Fire_year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Start_month
BIDWELL_1984,BIDWELL_1984_7,1984,II,Butte,NA,BIDWELL,1984-07-02,1984-07-05,CDF,6900,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
BLM D 284_1984,BLM D 284_1984_7,1984,II,Lassen-Modoc,NA,BLM D 284,1984-07-05,NA,BLM,NA,12100,NA,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
BLM D 337_1984,BLM D 337_1984_8,1984,II,Lassen-Modoc,NA,BLM D 337,1984-08-11,NA,BLM,NA,1480,NA,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
EAGLE_1984,EAGLE_1984_8,1984,II,Lassen-Modoc,NA,EAGLE,1984-08-12,1984-08-13,CDF,580,NA,T,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
MODOC N.F. 094_1984,MODOC N.F. 094_1984_8,1984,II,Lassen-Modoc,NA,MODOC N.F. 094,1984-08-13,1984-08-16,USFS,NA,4000,TB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
P.N.F. 115_1984,P.N.F. 115_1984_8,1984,II,Lassen-Modoc,NA,P.N.F. 115,1984-08-21,NA,USFS,NA,1100,NA,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
BOLAM_1984,BOLAM_1984_11,1984,II,Siskiyou,NA,BOLAM,1984-11-01,1984-11-02,CDF,370,NA,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
LOWERY_1984,LOWERY_1984_7,1984,II,Tehama-Glenn,NA,LOWERY,1984-07-12,1984-07-13,CDF,2645,NA,WBG,Campfire,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
MILL CREEK_1984,MILL CREEK_1984_7,1984,II,Tehama-Glenn,NA,MILL CREEK,1984-07-28,1984-07-30,CDF,4020,NA,W,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
SHERMAN #1_1984,SHERMAN #1_1984_5,1984,IV,Fresno-Kings,NA,SHERMAN #1,1984-05-24,1984-05-24,CDF,440,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
