Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
1979,I,Humboldt-Del Norte,BLUE CREEK,06/08/1979,06/10/1979,CDF,363,0,T,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Humboldt-Del Norte,SYLVANDALE,8/10/1979,8/11/1979,CDF,1616,0,TWG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Lake-Napa,ROCKWELL GAP,9/11/1979,9/12/1979,CDF,2500,0,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Lake-Napa,SEIGLER,9/17/1979,9/18/1979,CDF,1029,0,TWB,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Mendocino,HANES #2,9/12/1979,9/14/1979,CDF,370,0,TWBG,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,I,Mendocino,WOODRUFF,9/16/1979,9/18/1979,CDF,520,0,TBG,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Butte,BIDWELL PARK,7/25/1979,7/26/1979,CITY,1220,80,WB,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Plumas NF,WILL,9/18/1979,9/21/1979,USFS,720,2460,T,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Modoc NF,HAPPY,7/19/1979,7/22/1979,USFS,0,2473,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Nevada-Yuba-Placer,ROADSIDE #70-77,7/10/1979,7/10/1979,CDF,1700,0,WG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Shasta-Trinity,RIM,5/15/1979,5/16/1979,CDF,310,0,T,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Tehama-Glenn,LITTLE ANTELOPE,6/7/1979,6/7/1979,CDF,2550,0,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,II,Tehama-Glenn,SQUAW RIDGE,7/13/1979,7/14/1979,CDF,9400,0,GAP,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Amador-El Dorado,KIEFER,6/13/1979,6/13/1979,CDF,1500,0,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Amador-El Dorado,CHILI BAR,9/16/1979,9/21/1979,CDF,6884,140,TWBGAP,Campfire,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Fresno-Kings,CIERVO,6/7/1979,6/8/1979,CDF,57540,0,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Fresno-Kings,VALERIE,6/13/1979,6/15/1979,CDF,5250,0,WBG,Smoking,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Fresno-Kings,STATE OF CALIF.,7/1/1979,7/1/1979,CDF,1600,280,G,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Tulare,TAYLOR,6/20/1979,6/20/1979,CDF,2100,0,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Tulare,WOODLAKE MTN.,7/9/1979,7/9/1979,CDF,1900,0,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Sequoia NF,COW,8/7/1979,8/9/1979,USFS,0,1510,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Tuolumne-Calaveras,BRUNSWICK,6/8/1979,6/8/1979,CDF,1295,0,WBG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Tuolumne-Calaveras,FOWLER PEAK,6/11/1979,6/13/1979,CDF,4123,45,WB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Tuolumne-Calaveras,GOLDEN GATE,6/12/1979,6/13/1979,CDF,1310,0,BG,Smoking,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Tuolumne-Calaveras,PEORIA MTN.,6/16/1979,6/16/1979,CDF,450,0,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Tuolumne-Calaveras,PARKER #2,9/14/1979,9/16/1979,CDF,2075,0,WB,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,IV,Tuolumne-Calaveras,LTNG. STRIKE #2,9/24/1979,9/27/1979,CDF,425,0,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,KAUPP,5/18/1979,5/19/1979,CDF,1788,0,BG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,LLANDA,5/30/1979,5/31/1979,CDF,587,0,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,MAGGINI,7/3/1979,7/3/1979,CDF,580,0,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,P.G. & E. #10,7/16/1979,7/17/1979,CDF,2184,0,WBAP,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,THOMASON #2,7/18/1979,7/18/1979,CDF,1580,0,WGAP,Equipment use,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,MORAZOLLI,7/18/1979,7/18/1979,CDF,469,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,HERNANDEZ,8/3/1979,8/3/1979,CDF,765,0,WB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,OIL WELL CANYON,10/29/1979,10/29/1979,CDF,584,0,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,ELKHORN RD.,6/5/1979,6/5/1979,CDF,1578,0,G,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,CROCKER,7/28/1979,7/28/1979,CDF,2262,0,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,SILVER SPUR,8/7/1979,8/7/1979,CDF,300,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,SPANISH RANCH,8/15/1979,8/16/1979,CDF,930,0,B,Equipment use,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,PARKHILL,8/27/1979,8/29/1979,CDF,1985,240,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,RIVER ROAD,9/9/1979,9/10/1979,CDF,625,125,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,TAR SPRINGS #2,9/15/1979,9/17/1979,CDF,1500,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,Santa Clara,LANGDON,5/14/1979,5/14/1979,CDF,2872,0,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Orange,ORTEGA #2,9/15/1979,9/16/1979,CDF,750,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Orange,LAGUNA,12/11/1979,12/12/1979,CDF,400,150,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,TRUELSON,5/12/1979,5/13/1979,CDF,946,0,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,MORONGO #14,5/31/1979,5/31/1979,CDF,1279,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,MORONGO #21,6/3/1979,6/9/1979,CDF,3205,245,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,JOSHUA TREE,6/4/1979,6/4/1979,NPS,0,600,BG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,WHITEWATER,6/9/1979,6/10/1979,CDF,1664,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,DOUBLE BUTTE #2,6/13/1979,6/13/1979,CDF,850,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,BROWN,6/26/1979,6/26/1979,CDF,718,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,NORTH,6/26/1979,6/28/1979,CDF,3200,0,B,Arson,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,BAUTISTA,6/26/1979,6/28/1979,CDF,600,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,RECHE,6/28/1979,6/29/1979,CDF,300,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,RUSSELL,7/3/1979,7/4/1979,CDF,465,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,SKINNER,7/6/1979,7/6/1979,CDF,495,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,SAGE,7/8/1979,7/9/1979,CDF,320,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,STEELE,7/9/1979,7/10/1979,CDF,300,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,CALVERT,7/9/1979,7/9/1979,CDF,576,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Cleveland NF,RANDOLPH,7/17/1979,7/17/1979,USFS,0,400,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,BUTTE,7/29/1979,7/29/1979,CDF,686,0,BG,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,MORONGO #54,8/2/1979,8/2/1979,CDF,550,0,B,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,RAWSON,8/18/1979,8/19/1979,CDF,794,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,BURRO/MOE 59,8/23/1979,8/23/1979,CDF,1545,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
