Year,FIRE_NAME,Damaged_structures,Destroyed_structures,Ranger_unit,Start,Incident_number,County,County2,Region,Ranger_unit2,National_forest,County3,Fire_name2,DPA,DPA2,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Firefighter_fatalities,Civilian_fatalities,Contained
2018,CAMP,727,18804,BTU,11/18/2018,CA-BTU-016737,Butte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,CARDER,NA,1,LNU,7/21/2018,CALNU 010957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,CARR,279,1614,SHU,7/23/2018,CASHU 007808,Shasta,Trinity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,COLUSA,NA,1,BTU,7/5/2018,CABTU 009906,Butte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,COUNTY,4,29,LNU,7/1/2018,CALNU 009502,Napa,Yolo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,CRANSTON,5,12,RRU,7/25/2018,CABDF 011390,Riverside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,CREEK,NA,12,SHU,6/24/2018,CASHU 006565,Shasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,DELTA,4,42,SHU,8/4/2018,CASHF 001444,Shasta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,FRAZIER,1,1,FKU,6/3/2018,CAFKU 007893,Fresno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,GRANT,NA,1,SCU,5/30/2018,CASCU 003726,Contra Costa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,HILL,2,4,VNC,11/8/2018,CAVNC-090993,Ventura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,HOLIDAY,3,24,SLU,7/6/2018,CASBC 008657,Santa Barbara,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,HOLY,18,24,NA,8/6/2018,CACNF 002664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,HORSE,NA,2,TCU,6/24/2018,CATCU 007237,Calaveras,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,HYATT,NA,4,LMU,6/27/2018,CALMU 003203,Lassen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,IRISH,1,1,AEU,7/6/2018,CAAEU 018720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,KLAMATHON,12,83,SKU,7/5/2018,CA-SKU-004641,Siskiyou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,MARSH,NA,1,SCU,7/25/2018,CASCU 005274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,MEYERS,NA,4,AEU,9/20/2018,CAAEU 027442,El Dorado,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,NICOLAUS,1,NA,NEU,7/1/2018,CANEU 015512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,OMEGA,6,1,AEU,8/1/2018,CAAEU 021770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,PAWNEE,6,22,LNU,6/23/2018,CA-LNU-009002,Lake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,RANCH,27,246,MEU,7/27/2018,CA-MEU-008674,Lake,Mendocino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,RICHMOND,NA,1,LMU,9/20/2018,CALMU 005031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,RIDGE,1,NA,NEU,6/30/2018,CANEU 015440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,RIVER,11,35,MEU,7/27/2018,CA-MEU-008674,Lake,Mendocino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
