Year,FIRE_NAME,EXPECT_MATCH_2,DPA,Ranger_unit,County,Start,Contained,CDF_acres_burned,Other_acres_burned,Region,Ranger_unit2,County2,County3,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1979,ASSIST #61,,MIL,San Diego,NA,6/28/1979,6/28/1979,0,15000,VI,NA,NA,NA,G,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,BAUTISTA,,CDF,Riverside,NA,6/26/1979,6/28/1979,600,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,BERNARDO,1,CDF,San Diego,NA,9/15/1979,9/15/1979,1050,7050,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,BIDWELL PARK,,CITY,Butte,NA,7/25/1979,7/26/1979,1220,80,II,NA,NA,NA,WB,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,BLUE CREEK,,CDF,Humboldt-Del Norte,NA,6/8/1979,6/10/1979,363,0,I,NA,NA,NA,T,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,BROWN,,CDF,Riverside,NA,6/26/1979,6/26/1979,718,0,VI,NA,NA,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,BRUNSWICK,,CDF,Tuolumne-Calaveras,NA,6/8/1979,6/8/1979,1295,0,IV,NA,NA,NA,WBG,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,BURRO/MOE 59,,CDF,Riverside,NA,8/23/1979,8/23/1979,1545,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,BUTTE,,CDF,Riverside,NA,7/29/1979,7/29/1979,686,0,VI,NA,NA,NA,BG,Arson,1,NA,NA,NA,NA,NA,NA,NA
1979,CALVERT,,CDF,Riverside,NA,7/9/1979,7/9/1979,576,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,CAMPO,,CDF,San Diego,NA,9/10/1979,9/11/1979,320,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,CHERRY,,CDF,Riverside,NA,9/15/1979,9/15/1979,625,0,VI,NA,NA,NA,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,CHILI BAR,,CDF,Amador-El Dorado,NA,9/16/1979,9/21/1979,6884,140,IV,NA,NA,NA,TWBGAP,Campfire,7,NA,NA,NA,NA,NA,NA,NA
1979,CIERVO,,CDF,Fresno-Kings,NA,6/7/1979,6/8/1979,57540,0,IV,NA,NA,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,COTTONWOOD,,CDF,San Diego,NA,6/29/1979,7/2/1979,485,0,VI,NA,NA,NA,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA
1979,COW,,USFS,Sequoia NF,NA,8/7/1979,8/9/1979,0,1510,IV,NA,NA,NA,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,CROCKER,1,CDF,San Luis Obispo,NA,7/28/1979,7/28/1979,2262,0,V,NA,NA,NA,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA
