FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,OBJECTID_1,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,Damaged__1
449,499,1979,CA,USF,LPF,NACIMIENTO,00000000,1979-09-01,1979-09-05,7, ,5371,6069.879883,8,1,00000050,30687.18001,24563943.02,499,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
450,500,1979,CA,USF,LPF, ,00000000,,,9, ,0,573.2919922,0,1,00000007,6871.681967,2320029.706,500,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
451,501,1979,CA,CDF,BEU,FREEMAN FLAT,00001540,1979-08-30,,14, ,0,1345.550049,0,1,00000429,8860.278393,5445239.781,501,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
452,502,1979,CA,CDF,BEU,HERNANDEZ,00001285,1979-08-03,,14, ,0,680.9229736,0,1,00000338,8355.561608,2755599.353,502,0,1979,HERNDEZ, ,V,CDF,San Benito-Monterey, , , ,765,0,765,WB,Equipment use,0, , , , , , , , ,0,0,0,0
453,503,1979,CA,CCO,LAC,MONTE FIRE/USFS,00031000,1979-09-13,,14, ,0,2105.879883,0,1,00000136,21044.54774,8522204.78,503,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
454,504,1979,CA,CCO,LAC,PLACERITA FIRE,00318081,1979-12-12,,14, ,0,816.8439941,0,1,00023110,11238.52649,3305649.857,504,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
628,2458,1979,CA,CDF,SLU,RIVER ROAD,00001522,1979-09-09,,14, ,0,663.151001,0,1,00000452,9690.269082,2683678.035,2458,0,1979,RIVER ROAD, ,V,CDF,San Luis Obispo, , , ,625,125,750,BG,Arson,0, , , , , , , , ,0,0,0,0
629,2459,1979,CA,CDF,SLU,SCHROEDER,00001178,1979-07-24,,14, ,0,416.618988,0,1,00000327,6459.066034,1685998.252,2459,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
630,2460,1979,CA,CDF,SLU,SIMMLER FFS,00001204,1979-07-28,,14, ,0,2150.959961,0,1,00000344,15947.03346,8704640.297,2460,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
631,2461,1979,CA,CDF,SLU,VINYARD CYN DR.,00001071,1979-07-12,,14, ,0,595.5189819,0,1,00000289,7288.332841,2409977.996,2461,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
644,2754,1979,CA,CDF,BEU,TANNEHILL,00000683,1979-06-06,,14, ,0,981.4840088,0,1,00000142,12463.31054,3971925.58,2754,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
645,2755,1979,CA,CDF,BEU,TOMASON #2,00001119,1979-07-18,,14, ,0,1861.030029,0,1,00000284,14723.69424,7531309.13,2755,0,1979,THOMASON #2, ,V,CDF,San Benito-Monterey, , , ,1580,0,1580,WGAP,Equipment use,1, , , , , , , , ,0,0,1,0
646,2756,1979,CA,CDF,BEU,WHITNEY,00001436,1979-08-20,,14, ,0,467.0620117,0,1,00000392,5982.429365,1890132.429,2756,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
647,2757,1979,CA,CDF,FKU,HARRIS,00004525,1979-07-14,,14, ,0,277.6440125,0,1,00000130,5165.003317,1123584.564,2757,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
648,2758,1979,CA,CDF,FKU,MORENO,00006305,1979-09-21,,14, ,0,294.5169983,0,1,00000193,5561.46455,1191867.637,2758,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
649,2759,1979,CA,CDF,FKU,PYRAMID HILLS,00002697,1979-05-22,,14, ,0,693.9819946,0,1,00000044,6599.077123,2808443.532,2759,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
650,2760,1979,CA,CDF,FKU,SILVER CREEK RANCH,00008134,1979-12-18,,14, ,0,225.7769928,0,1,00000242,4382.128139,913685.6611,2760,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
651,2761,1979,CA,CDF,FKU,STATE OF CAL #32,00004056,1979-07-01,,14, ,0,2292.669922,0,1,00000115,23860.8082,9278122.76,2761,0,1979,STATE OF CALIF., ,IV,CDF,Fresno-Kings, , , ,1600,280,1880,G,Smoking,0, , , , , , , , ,0,0,0,0
809,5144,1979,CA,USF,BDF,DALEY,00000000,1979-09-18,1979-09-20,8, ,1445,1047.449951,8,1,00000197,9171.85259,4238877.494,5144,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
810,5145,1979,CA,USF,BDF,SHADOW,00000000,1979-09-15,1979-09-18,2, ,2300,2601.01001,8,1,00000191,12970.53518,10525908.05,5145,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
811,5146,1979,CA,USF,ENF,CHILI BAR,00000000,1979-09-16,1979-09-22,4, ,7024,6927.490234,8,1,00000045,28543.14478,28034538.62,5146,0,1979,CHILI BAR, ,IV,CDF,Amador-El Dorado, , , ,6884,140,7024,TWBGAP,Campfire,7, , , , , , , , ,0,0,7,0
812,5147,1979,CA,USF,ENF, ,00000000,1979-12-06,1979-12-09,5, ,25,23.43190002,8,1,00000085,1162.180991,94825.52909,5147,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
813,5148,1979,CA,USF,PNF, ,00000000,1979-06-01,1979-06-03,3, ,15,7.11247015,8,1,00000016,777.0376079,28783.12549,5148,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
814,5149,1979,CA,USF,PNF, ,00000000,1979-07-03,1979-07-03,7, ,18,6.763360023,8,1,00000040,684.735172,27370.34524,5149,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
815,5150,1979,CA,USF,PNF, ,00000000,1979-09-29,1979-09-30,3, ,15,24.94079971,8,1,00000126,1594.091687,100931.7009,5150,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
823,5232,1979,CA,CCO,LAC, ,00000000,1979-06-30,,14, ,0,2.087739944,0,1,00000000,424.7076246,8448.798919,5232,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
824,5233,1979,CA,CCO,LAC, ,00000000,1979-07-15,,14, ,0,40.5060997,0,1,00000000,1920.961175,163922.5306,5233,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
825,5234,1979,CA,CCO,LAC,DAGGER FIRE/USFS,00000000,1979-04-11,,14, ,0,769.0300293,0,1,00000000,11194.37353,3112154.644,5234,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
826,5235,1979,CA,CCO,LAC,MILLIE FIRE,00318061,1979-09-19,,14, ,0,1996.290039,0,1,00002254,23206.00825,8078702.777,5235,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
