FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,Region_rb,DPA_rb,Start_rb,Cause_rb,County_rb,County2_rb,County3_rb,DPA2_rb,Firefighte,Total_dama,OID_,Fire_rb,Expect_shp,Ranger_rb,Ranger2_rb,Contain_rb,CDFacre_rb,Otherac_rb,Totalac_rb,Veg_rb,Destroyed,Inci_rb,Forest_rb,Damaged,Civilian,Year,NLCD_11,NLCD_21,NLCD_22,NLCD_23,NLCD_24,NLCD_31,NLCD_41,NLCD_42,NLCD_43,NLCD_52,NLCD_71,NLCD_81,NLCD_82,NLCD_90,NLCD_95,NLCD_0,NLCD_12,WUI_area
5961,18905,CA,CCO,VNC,SOLIMAR,9187,12/25/15,12/29/15,11, ,1288,1287.390015,7,1, ,13194.06557,5209874.989, ,VNC,12/25/15,Undetermined,Ventura, , , ,0,0,166,SOLIMAR,0, , ,12/28/15,0,1288,1288, ,0,VNC-89187, ,0,0,2015,0,91.181895,127.432259,60.713799,1.111974,0,0,0,0,295.117988,711.663573,0,0,0,0,0,0,10.37108
1206,12087,CA,USF,TNF,PENDOLA,0,10/16/99,10/25/99,9, ,11725,12324.2998,8,1,110,82325.92824,49874697.94,Coast,USFS/CDF,10/16/99,Lightning, , , , ,0,80,7238,PENDOLA,0,Tahoe NF, ,10/20/99,7020,4705,11725, ,76, , ,4,0,1999,11.786928,88.513157,0,0,0,1.111974,16.679615,3916.595995,68.942409,783.71951,7427.098963,0,0,0,0,0,0,1061.68613
2221,2780,CA,CDF,MVU,MANZANITA,1375,7/19/92,,9, ,0,964.1220093,0,1,453,13766.14734,3901664.409,III,USFS/BIA,7/19/92,Undetermined, , , , ,0,1,4867,MANZANITA,0,San Diego, ,7/20/92,821,0,821,B,1, , ,0,0,1992,6.004661,41.58784,0,0,0,0.44479,0,0,0,471.921907,418.991929,0,0,3.113528,20.682723,0,0,0
9872,20334,CA,CDF,LNU,YOUNG,10104,10/8/17,10/25/17,14, ,0,106.0049973,3,1, ,6353.3646,428988.6583, ,USFS,8/7/17,Undetermined,Del Norte, , , ,0,0,835,YOUNG,0, , ,10/15/17,0,21377,21377,BT,0,SRF-863, ,0,0,2017,0,8.451005,0.222395,0,0,0,0,38.919102,3.113528,25.797805,18.236379,0,9.11819,0.44479,0,0,0,0
216,3137,CA,USF,KNF,YELLOW,0,8/30/87,11/20/87,1, ,47590,51060.10156,8,1,217,92167.16588,206632752, ,USFS,8/30/87,Lightning,Siskiyou, , , ,0,0,4896,YELLOW,0, , ,10/25/87,0,47770,47770, ,0, ,Klamath,0,0,1987,9.785374,699.20946,20.460328,4.225502,0,4.225502,50.928424,33786.89531,206.160041,16004.20178,271.544132,0,0,0,0,0,0,3.15459
7022,15179,CA,USF,ENF,WRIGHTS,0,8/8/81,8/13/81,9, ,3600,3842.879883,8,1,31,21731.28973,15551574.68,IV,USFS, ,Equipment use, , , , ,0,0,9185,WRIGHTS,0,El Dorado NF, , ,0,3600,3600,T,0, , ,0,0,1981,0,121.205202,4.670292,0,0,0,3.780713,1196.706777,0,2501.942249,0.44479,0,0,1.779159,8.895795,0,0,0
9182,18627,CA,NPS,KNP,WOODS CREEK,72,7/15/12,10/17/12,14,GEOMAC 2012 data. Commnets: WFDSS;,325,324.3439941,2,1, ,6599.52585,1312572.854, ,USFS,7/15/12,Lightning,Fresno, , , ,0,0,1942,WOODS CREEK,0, , ,7/21/12,0,325,325,T,0,KNP-0072, ,0,0,2012,0,0,0,0,0,3.558318,2.001554,58.267455,3.113528,253.307753,4.003108,0,0,0,0,0,0,0
5588,16940,CA,BLM,CDD,WINDY POINT,13860,9/24/11,9/26/11,9, ,541.1,541.4959717,1,1, ,6789.588613,2191357.105, ,USFS,9/25/11,Misc,Riverside, , , ,0,0,2285,WINDY POINT,0, , ,10/3/11,0,541,541,G,0,BDF-013860, ,0,0,2011,0,1.334369,0.222395,0,0,103.636008,0,0,0,392.526939,31.135281,0,0,0,0,0,0,17.60422
9209,18655,CA,NPS,KNP,WINDY PEAK,113,8/23/13,11/7/13,1,2013-CAKNP-113,0,681.3790283,1,1, ,8762.530823,2757441.328, ,USFS,8/23/13,Lightning,Fresno, , , ,0,0,1953,WINDY PEAK,0, , ,10/20/13,0,681,681,TB,0,KNP-113, ,0,0,2013,0,0,0,0,0,0,2.223949,123.429151,2.223949,551.539269,0,0,0,0.222395,0.667185,0,0,0
2525,6282,CA,CDF,BDU,WINDY,9194,11/16/80,,14, ,0,444.7940063,0,1,1158,5185.937407,1800017.986,VI,USFS, ,Arson, , , , ,0,0,5270,WINDY,0,San Bernardino, , ,0,335,335,BT,0, , ,0,0,1980,0,79.172572,107.194326,105.192772,28.244148,59.601824,0,0,0,29.356122,36.027968,0,0.44479,0,0,0,0,0
