OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
1,2007,CA,CCO,LAC,OCTOBER,00246393,2007-10-21,2007-10-23,14,NA,NA,25.73671341,8,1,00233414,1902.439051,104152.7811
2,2007,CA,CCO,LAC,MAGIC,00233077,2007-10-22,2007-10-25,14,NA,NA,2824.877197,8,1,00233077,20407.96566,11431872.51
3,2007,CA,USF,ANF,RANCH,00000166,2007-10-20,2007-11-15,2,NA,54716,58410.33594,7,1,00000166,169150.7157,236378245.2
4,2007,CA,CCO,LAC,EMMA,00201384,2007-09-11,2007-09-11,14,NA,NA,172.2149506,8,1,00201384,6117.777086,696929.1698
5,2007,CA,CCO,LAC,CORRAL,00259483,2007-11-24,2007-11-27,14,NA,NA,4707.99707,8,1,00259483,22907.18217,19052588.51
6,2007,CA,CCO,LAC,GORMAN,00109398,2007-05-19,2007-05-22,14,NA,NA,2373.844971,8,1,00109398,19693.20882,9606609.352
7,2007,CA,CCO,LAC,WEST,00148311,2007-07-07,2007-07-08,14,NA,NA,245.233963,8,1,00148311,5881.590454,992426.6389
8,2007,CA,CCO,LAC,PEARBLOSSOM,00177427,2007-08-13,2007-08-14,14,NA,NA,81.03350067,8,1,00177427,4123.607761,327930.9336
9,2007,CA,CCO,LAC,SKYLINE,00183643,2007-08-21,2007-08-23,14,NA,NA,95.41855621,8,1,00183643,3590.087163,386145.196
10,2007,CA,CCO,LAC,SESNON,00231876,2007-10-21,2007-10-21,14,NA,NA,30.3014183,8,1,00231876,1675.72825,122625.4901
11,2007,CA,CCO,LAC,SOLEDAD,00233414,2007-10-22,2007-10-23,14,NA,NA,44.16777039,8,1,00233414,2054.352312,178740.6207
12,2007,CA,CCO,LAC,Y,00233912,2007-10-23,NA,14,NA,NA,22.49172974,NA,1,00233912,1661.025925,91020.79994
13,2007,CA,CDF,MVU,ANGEL 3,00009233,2007-09-15,2007-09-25,4,NA,837,832.1265259,7,1,00000000,17923.84618,3367496.613
14,2007,CA,CDF,MVU,BANNER,00006310,2007-07-01,2007-07-03,14,NA,NA,95.15126038,7,1,00000000,3492.891093,385063.4789
15,2007,CA,CDF,HUU,CHAMBERS,00003235,2007-07-27,2007-07-29,7,NA,55,54.69635773,2,1,00000000,3032.160693,221348.3029
16,2007,CA,CDF,HUU,BROWN,00002877,2007-07-08,2007-07-08,2,NA,20,18.73177338,2,1,00000000,1469.312447,75804.7998
17,2007,CA,CDF,HUU,DRIFTWOOD,00004908,2007-10-25,2007-11-05,14,NA,70,52.9729538,1,1,00000000,4353.271295,214373.9356
18,2007,CA,CDF,HUU,CAPPEL,00004049,2007-09-05,2007-09-11,14,NA,20,12.89414597,1,1,00000000,1604.375528,52180.75749
19,2007,CA,CCO,KRN,MOUNTAIN,00717959,2007-07-19,2007-07-19,14,NA,840.56,840.5582886,1,1,00717959,10229.11523,3401618.781
20,2007,CA,CCO,KRN,WHITE,00018055,2007-06-24,2007-06-29,2,NA,12432.15,12432.16016,7,1,00718055,42225.31167,50311168.47
21,2007,CA,USF,KRN,WOFFORD,00000000,2007-05-09,2007-05-13,9,NA,567,567.456604,2,1,0713610,7154.99835,2296415.401
22,2007,CA,CCO,LAC,PEARBLOSSOM,00080271,2007-04-12,2007-04-13,14,NA,77,77.80277252,8,1,00080271,5171.848182,314856.6501
23,2007,CA,CCO,LAC,ISLAND,00102481,2007-05-10,2007-05-17,14,NA,4750,4722.96582,8,1,00102481,30713.9037,19113165.55
24,2007,CA,CCO,LAC,CANYON,00148415,2007-07-07,NA,14,NA,743,743.4799194,NA,1,00148415,12308.86695,3008756.592
25,2007,CA,CCO,LAC,FAIRMONT,00193853,2007-09-01,2007-09-08,14,NA,211,211.6219482,8,1,00193853,4739.285245,856403.6154
26,2007,CA,CDF,FKU,AUBERRY,00009400,2007-08-28,2007-09-03,10,NA,150,150.9360657,2,1,00009400,3302.735287,610816.5577
27,2007,CA,CDF,FKU,GATOS,00009688,2007-09-02,2007-09-05,1,NA,100,83.05220032,2,1,00009688,2298.988366,336100.3266
28,2007,CA,LRA,MVU,CORONADO HILLS,00010492,2007-10-22,NA,14,NA,NA,58.7947464,3,1,00000000,1800.918409,237933.9012
29,2007,CA,CCO,LAC,MEADOW RIDGE,00233523,2007-10-23,2007-10-25,14,NA,NA,39.1084671,8,1,00233523,3372.749658,158266.3562
30,2007,CA,CDF,MMU,HIGHWAY 41/ RD 209 3,00005998,2007-05-20,NA,14,NA,NA,329.0809326,6,1,00000000,5371.204505,1331743.231
31,2007,CA,BLM,MVU,BORDER #34,00009128,2007-09-12,2007-09-16,14,NA,NA,109.2246094,6,1,00000000,3036.537677,442016.3237
32,2007,CA,LRA,MVU,78 #4,00006655,2007-07-09,2007-07-10,10,NA,70,99.97422028,6,1,00000000,3524.306842,404581.3012
33,2007,CA,CDF,MVU,BORDER #25,00006524,2007-07-06,2007-07-07,4,NA,50,136.2099304,6,1,00000000,3660.236539,551222.0551
34,2007,CA,CDF,MVU,VUELTA,00005764,2007-06-16,2007-06-18,14,NA,120,214.8133545,6,1,00000000,6221.770847,869318.8322
35,2007,CA,CDF,LMU,WILLOW,00003020,2007-07-06,2007-07-17,1,Timber,75,73.36000824,1,2,00000000,3120.049848,296877.4248
36,2007,CA,CDF,LMU,LOOKOUT,00004945,2007-10-02,2007-10-03,5,Grass and Brush Mix,64,64.5118103,1,1,00000000,3350.448084,261070.0491
37,2007,CA,CDF,LMU,PINE,00002692,2007-06-23,2007-07-29,5,Grass and Brush Mix,314,481.7800293,1,1,00000000,5880.539937,1949694.62
38,2007,CA,CDF,LMU,ISLAND,00002269,2007-06-01,2007-06-04,1,"Grass and sagebrush, outside of SRA.",518,517.5629272,1,1,00000000,7971.953495,2094502.879
39,2007,CA,CDF,LNU,HWY 128,00005933,2007-08-14,2007-08-15,14,NA,368,508.3511047,6,1,00000000,6142.001763,2057223.929
40,2007,CA,CDF,LNU,PEAK,00004843,2007-07-11,2007-07-11,2,NA,60,46.32199097,5,1,00000000,2689.41363,187458.4525
41,2007,CA,CDF,LNU,MOUNTAIN,00004247,2007-06-24,2007-06-27,14,NA,45,49.278236390000004,7,1,00000000,1815.510019,199421.9428
42,2007,CA,CDF,LNU,SPRUCE,00004982,2007-07-15,2007-07-15,11,NA,NA,129.0110931,5,1,00000000,4042.514373,522089.3765
43,2007,CA,CDF,LNU,BRAYE,00003042,2007-05-18,2007-05-22,14,NA,450,636.5302124,6,1,00000000,7055.141053,2575946.261
44,2007,CA,CDF,LNU,ROBINSON,00005400,2007-07-28,2007-07-30,7,Started on Robinson Rancheria,128,121.5482178,1,1,00000000,4377.868463,491888.1963
45,2007,CA,CDF,LNU,WEST,00005195,2007-07-22,2007-07-22,10,NA,40,36.99460983,6,1,00000000,2128.279758,149711.867
46,2007,CA,LRA,LAC,GRIFFITH PARK,00000000,2007-05-08,NA,3,NPS from BARC imagery and air photo interp. Presumed accuracy 30m,NA,747.8983765,7,1,00000002,12410.57845,3026637.438
47,2007,CA,LRA,LAC,BARHAM,00000000,2007-03-30,2007-03-31,8,"NPS from BARC, air photo interp. Presumed accuracy 30m. Suppress by LA City?",NA,224.3276367,7,1,00000001,5068.36084,907821.7177
48,2007,CA,CCO,VNC,SMALL HIGHWAY,00000000,2007-06-08,2007-06-08,10,"NPS by ground GPS, presumed cause = automobile, suppressed by VTA Co?",NA,0.132266,1,1,00000002,113.1549028,535.2614878
49,2007,CA,CCO,VNC,RABBIT HILL,00000000,2007-10-21,2007-10-21,14,VTACO prob suppress. NPS map by recon & airpic interp. Cause unkn. Accuracy 15m,NA,16.84096336,7,1,00000003,993.4892822,68152.96436
50,2007,CA,CCO,VNC,ROADSIDE,00000000,2007-04-30,2007-04-30,9,"VTACO prob suppress.  NPS map ground GPS, in threat zone, accuracy 10m",NA,0.320583969,1,1,00000001,196.3234164,1297.357354
51,2007,CA,CCO,VNC,DEER RIDGE,00000239,2007-04-01,2007-04-01,9,"By NPS LE (ground GPS?), presumed accuracy 30m. cause unkn, presumed human",0.3,0.30896154,7,1,00000239,125.5071618,1250.323002
52,2007,CA,CCO,LAC,TRIUNFO,00000313,2007-05-09,2007-05-09,9,"NPS from unkn source. Presumed accuracy 30m, cause unkn, presumed human",0.2,0.308980942,8,1,00000313,125.5111175,1250.401525
53,2007,CA,CCO,ORC,241 (HAYSTACK),00000000,2007-05-26,NA,10,NA,NA,0.238220185,NA,1,00000000,533.4230363,964.0428842
54,2007,CA,CCO,ORC,PIONEER,00000000,2007-05-26,NA,8,NA,NA,0.338818043,NA,1,00034237,192.416167,1371.148029
55,2007,CA,CCO,ORC,FREEMONT/IRVINE LAKE,00000000,2007-06-22,NA,16,NA,NA,9.488763809,NA,1,00039619,1121.618341,38399.66525
56,2007,CA,CCO,ORC,ANTONIO,00000000,2007-06-25,NA,11,NA,NA,0.879535854,NA,1,07040974,238.5724713,3559.355266
57,2007,CA,CCO,ORC,FREEWAY INCIDENT,00000000,2007-09-18,NA,8,NA,NA,2.454625607,NA,1,00060896,763.7087994,9933.517481
58,2007,CA,CCO,ORC,CROWN VALLEY,00000000,2007-07-13,NA,8,NA,NA,22.87266541,NA,1,07045332,1886.90016,92562.39319
59,2007,CA,CCO,ORC,261 INCIDENT,00000000,2007-07-27,NA,10,NA,NA,89.76793671,NA,1,07048570,2815.55182,363277.9636
60,2007,CA,CDF,RRU,ROCA,00091948,2007-10-21,2007-10-21,11,NA,256,270.0265198,7,1,00000000,5652.827771,1092758.519
61,2007,CA,CCO,SBC,CEMETERY,00006785,2007-08-20,2007-08-23,8,Children playing with fire,490,501.5786743,7,1,00006785,7608.322311,2029816.898
62,2007,CA,CCO,SBC,MARIPOSA,00007295,2007-09-03,2007-09-04,11,NA,187,188.2546234,7,1,00007295,4578.864001,761839.418
63,2007,CA,CCO,SBC,SEDGWICK,00008758,2007-10-21,2007-10-23,11,CA-LPF-001783,710,808.8292236,7,1,00008758,8061.132352,3273215.654
64,2007,CA,LRA,LAC,GRIFFITH PARK,00000000,2007-08-14,2007-08-14,14,"perim = 5ac circle, by NPS, from oblique air photo. Cause unknown",NA,4.961969376,5,1,00000003,502.5446193,20080.37719
65,2007,CA,CCO,LAC,AGOURA,00000420,2007-06-21,2007-06-21,9,"NPS by ground GPS. Accuracy 20m. cause = ukn, presumed human",0.8,0.808401406,1,1,00000420,324.5918197,3271.484528
66,2007,CA,CCO,LAC,KANAN,00000457,2007-07-03,2007-07-03,2,NPS by ground GPS. Accuracy 20m. presumed cause = weed abatement,0.5,0.513943851,1,1,00000457,202.5249445,2079.857011
67,2007,CA,CCO,LAC,FLORES,00000535,2007-08-05,2007-08-05,10,"NPS by ground GPS. Cause = vehicle fire, accuracy 10m",0.1,0.093504287,1,1,00000535,69.04504431,378.3984395
68,2007,CA,CCO,LAC,AGOURA 2,00000677,2007-10-07,2007-10-07,7,"NPS by ground GPS. arson suspected, accuracy 20m",2,2.014412165,1,1,00000677,320.2726357,8152.037112
69,2007,CA,CCO,LAC,VIRGENES,00000717,2007-11-03,2007-11-03,9,"Cause unkn, presumed human, NPS by driveby recon, presumed accuracy 90m",0.1,0.016780473,7,1,00000717,29.24998292,67.90816499
70,2007,CA,LRA,RRU,RIVER,00037425,2007-04-28,2007-04-28,14,NA,488,158.0416107,7,1,00000000,5723.411747,639571.6775
71,2007,CA,CDF,RRU,ROSA,00092560,2007-10-22,2007-10-22,14,NA,200,409.634552,7,1,00000000,8714.260275,1657732.279
72,2007,CA,CCO,ORC,LAGUNA CANYON,00000000,2007-03-08,2007-03-08,3,NA,NA,2.842573404,8,1,00000000,585.3848359,11503.48676
73,2007,CA,CCO,ORC,241 INCIDENT,00000000,2007-03-11,2007-03-13,7,NA,NA,1618.079224,7,1,07016557,17664.21662,6548134.437
74,2007,CA,CCO,ORC,NA,00000000,2007-01-07,2007-01-07,8,NA,NA,14.80335808,8,1,00000000,1667.956919,59907.0652
