Firename_year,Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
CHURCH_1991,1991,I,Humboldt-Del Norte,CHURCH,10/1/91,10/2/91,CDF,300,NA,TWG,Misc,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
KUTRAS_1991,1991,II,Shasta-Trinity,KUTRAS,4/14/91,4/15/91,CDF,360,NA,TB,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LINCOLN_1992,1992,II,Nevada-Yuba-Placer,LINCOLN,8/19/92,8/19/92,CDF,1600,NA,GB,Smoking,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CLOVER_1992,1992,II,Shasta-Trinity,CLOVER,6/20/92,6/21/92,CDF,310,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1992,1992,III,Riverside,STATE,5/31/92,6/2/92,CDF,1200,NA,BG,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1992,1992,III,Riverside,STATE,9/27/92,9/27/92,CDF,1080,NA,GB,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1992,1992,III,Riverside,STATE,10/7/92,10/8/92,CDF,411,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ABERDEEN_1992,1992,III,San Bernardino,ABERDEEN,6/24/92,6/25/92,CDF,2000,NA,B,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WILDCAT_1992,1992,III,San Diego,WILDCAT,8/17/92,8/18/92,BIA,1065,800,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
RINCON_1992,1992,III,San Diego,RINCON,9/16/92,9/17/92,BIA,200,150,B,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HOISINGTON_1993,1993,I,Humboldt-Del Norte,HOISINGTON,11/26/93,11/27/93,CDF,307,NA,B,Debris,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1993,1993,III,Riverside,STATE,5/26/93,5/26/93,CDF,500,NA,B,Equipment use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST_1993,1993,III,Riverside,ASSIST,7/15/93,7/16/93,LOCAL,NA,400,B,Smoking,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LOCAL_1993,1993,III,Riverside,LOCAL,7/25/93,7/25/93,LOCAL,NA,410,AGB,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STODDARD_1993,1993,III,San Bernardino,STODDARD,7/20/93,7/20/93,BLM,NA,2326,NA,Fireworks,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
OPAL MOUNTAIN_1993,1993,III,San Bernardino,OPAL MOUNTAIN,8/27/93,8/27/93,LOCAL,NA,18000,GB,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
OUTSIDE ORIGIN #1_1993,1993,III,San Diego,OUTSIDE ORIGIN #1,5/9/93,5/13/93,CDF,4600,NA,B,Campfire,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
OTAY #18_1993,1993,III,San Diego,OTAY #18,7/29/93,7/29/93,CDF,2000,NA,GB,Escape,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST #31_1993,1993,III,San Luis Obispo,ASSIST #31,6/15/93,6/15/93,CC,NA,400,B,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST_1993,1993,III,Inyo NF,ASSIST,8/4/93,8/4/93,USFS,NA,1000,NA,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CHEVRON USA_1993,1993,IV,Fresno-Kings,CHEVRON USA,5/10/93,5/10/93,LOCAL,NA,3000,GB,Electrical power,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SYCAMORE_1993,1993,IV,Fresno-Kings,SYCAMORE,7/14/93,7/14/93,CDF,1500,NA,G,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
GUERRERO_1993,1993,IV,San Benito-Monterey,GUERRERO,6/10/93,6/12/93,CDF,1513,NA,G,Equipment Use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
DILLON COMPLEX_1994,1994,Coast,Klamath NF,DILLON COMPLEX,7/20/94,8/18/94,USFS,NA,28953,NA,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SCHINDEL ESCAPE_1994,1994,Cascade,Shasta-Trinity,SCHINDEL ESCAPE,4/4/94,4/5/94,CDF,670,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NA_1994,1994,Cascade,Plumas NF,NA,6/3/94,6/4/94,USFS,NA,2000,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LIGHTNING #58_1994,1994,Cascade,Lassen-Modoc,LIGHTNING #58,7/23/94,7/23/94,CDF,1550,NA,G,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LIGHTNING 66_1994,1994,Cascade,Lassen-Modoc,LIGHTNING 66,9/18/94,9/24/94,CDF,1025,NA,TB,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LOCAL_1994,1994,South,Riverside,LOCAL,4/8/94,4/8/94,LOCAL,NA,1400,B,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST #22 (SODA)_1994,1994,South,San Luis Obispo,ASSIST #22 (SODA),5/23/94,5/23/94,BLM,NA,3380,NA,Equipment use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BRANCH_1994,1994,South,San Luis Obispo,BRANCH,6/18/94,6/18/94,LOCAL,NA,2400,GA,Equipment use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SAN FELIPE_1994,1994,South,San Diego,SAN FELIPE,6/20/94,6/21/94,CDF,740,NA,B,Vehicle,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
PIUTE_1994,1994,South,San Bernardino,PIUTE,6/28/94,6/28/94,BLM,NA,3500,NA,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
GILMAN FIRE_1994,1994,South,Riverside,GILMAN FIRE,7/24/94,7/24/94,CDF,1905,NA,G,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST 42_1994,1994,South,San Diego,ASSIST 42,8/9/94,8/9/94,USFS,NA,500,B,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST/OPAL #2_1994,1994,South,San Bernardino,ASSIST/OPAL #2,8/13/94,8/13/94,BLM,NA,4000,NA,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
COMPLEX_1994,1994,South,San Bernardino NF,COMPLEX,8/13/94,8/13/94,USFS,NA,1800,NA,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE (ESPERANZA)_1994,1994,South,Riverside,STATE (ESPERANZA),8/21/94,8/23/94,CDF,657,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SPANISH_1994,1994,South,Santa Barbara County,SPANISH,9/8/94,9/9/94,CC,NA,2123,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST #79_1994,1994,South,San Luis Obispo,ASSIST #79,10/9/94,10/11/94,CC,NA,2546,BG,Playing with fire,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SCISSORS #2_1994,1994,South,San Diego,SCISSORS #2,10/30/94,10/30/94,CDF,400,NA,B,Vehicle,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HORIZON_1994,1994,Sierra,Yosemite NP,HORIZON,8/12/94,8/15/94,NPS,NA,3750,NA,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1995,1995,South,Riverside,STATE,6/23/95,6/25/95,CDF,1963,NA,BG,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LOST LAKE_1995,1995,South,Riverside,LOST LAKE,6/23/95,6/24/95,USFS,NA,2000,B,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1995,1995,South,Riverside,STATE,7/22/95,7/23/95,CDF,1335,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1995,1995,South,Riverside,STATE,9/26/95,9/26/95,CDF,3500,NA,B,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CITY_1995,1995,South,San Bernardino,CITY,10/22/95,10/23/95,CITY,NA,2500,BG,Vehicle,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
